,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
570,," Als Schüler der Hegelschen Philosophie hatten sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten sozialistischen Vorgänger.",Metapher,durchtränkten,sozialistischen Vorgänger,,"floskelhaft. Kenne es in Verbindung mit dem Wort Hass ""mit Hass durchtränkt"", Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft",A,,,,,
571,," »Eine Gesellschaftsformation geht nie unter«, sagt Marx1), »bevor alle Produktivkräfte entwickelt sind, für die sie weit genug ist, und neue höhere Produktionsverhältnisse treten nie an die Stelle, bevor die materiellen Existenzbedingungen derselben im Schoß der alten Gesellschaft selbst ausgebrütet worden sind.«",Metapher,im Schoß ausgebrütet,der alten Gesellschaft,C,"Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft",A,,,,,
572,," Und da diese sozialen Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle Geistesleben von den Produktionsverhältnissen bestimmt.",Metapher,ganze Strecke weit mitgehen.,Marx’schen Gedankengange ,B,"dem Gang mitgehen wäre nicht sehr auffällig, aber hier, eine Strecke weit mitgehen, schon - Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft",A,,,,,
573,, Man kann mit dem Marx’schen Gedankengange eine ganze Strecke weit mitgehen.,Metaphernkandidat,,,,,A,,,,,
574,," Es ist richtig, daß die Wirtschaftsweise eines Volkes seinem ganzen sozialen Leben ihren Stempel aufdrückt, aber einerseits ist diese Erkenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer kenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer Faktoren, die im gesellschaftlichen Leben mitwirken, überspannt, zum anderen gibt die methodische Durchführung jener Erkenntnis zu Bedenken Anlaß.",Metapher,überspannt,Kosten,A,"aufällig, aber nur gering metaphorisch, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft",A,,,,,
575,," Zwar besteht heut innerhalb jeder Schicht ein hoher Grad von Beweglichkeit, und viel Beweglichkeit auch zwischen den Schichten, aber die gesellschaftlichen Schranken werden noch aufrecht erhalten.",Metapher,Schranken,gesellschaftlichen aufrecht erhalten,,Floskel,A,,,,,
576,," Die Menschheit macht mit der Realisierung der sozialistischen Forderung noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.",Metapher,spinnt den Faden,ihres Schicksals,B,"auffällig, kenne es nicht als Floskel, daher Metapher, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft",A,,,,,
577,," Sobald aber die Forderung der Vergesellschaftung der Produktionsmittel ihres mystischen Schimmers entkleidet und als ein rechtlicher Reformvorschlag wie andere Reformvorschläge angesehen werden wird, wird sie von sozialdemokratischer Seite selbst auch unbefangener und nüchterner betrachtet werden.",Metapher,mystischen Schimmers entkleidet,Forderung der Vergesellschaftung,C,"Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft",A,,,,,
578,," Bei Beobachtung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."" tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen.""",Metapher,das Horoskop stellen,einer Nation,B,"Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)",P,,,,,
579,, Die Zellen verschmelzen miteinander.,Metaphernkandidat,,,,Fachausdruck,P,,,,,
580,," Diese wolle die bittere Auslese, ohne die auch dem Menschen kein Fortschritt möglich sei, einschränken.",Metapher,bittere,Auslese,A,"Unauffällig, aber doch metaphorisch: Dass eine Auslese ""bitter"" sein soll...? Schon ein Bruch, der aufmerken lässt. Soweit ich sehe, nichts EIngeführtes, also keine Floskel.",P,,,,,
581,," Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Aufgabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird nach seiner Überzeugung erst eine spätere Generation errichten können, wenn die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer geschichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden sein werden.",Metapher,ein gesichertes Fundament und die ersten Pfeiler zu legen,für die Lösung der gestellten Aufgabe,A,"schwacher Bruch, semantische Erweiterung, Ausdruck schwer ersetzbar",P,,,,,
582,," In Californien ist ebenso die früher dort heimische weiße Ratte von der zu Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Vereinigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der Singdrosseln zur Folge gehabt.",Metaphernkandidat,,,,Der Ausdruck „vertilgen“ in diesem Zusammenhang kommt mir wie ein Jargon-Ausdruck vor,P,,,,,
583,," Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete ihrer Beantwortung harren und in der folgenden Arbeit berührt werden, sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahrhunderte und Jahrtausende abgemüht haben. hunderte und Jahrtausende abgemüht haben.",Metapher,Jahrzehnte und Jahrtausende,"Fragen, an denen sich abgemüht haben",B,"Bruch, Ausdruck nicht ersetzbar, sprachlich irregulär",P,,,,,
584,," So verlockend es nun mitunter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus- unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich ausgestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu machen.",Metapher,Arsenale,der Volkswirtschaftspolitik,A,"Bruch, pointiert, irregulär, Ausdruck nicht ersetzbar ohne die Pointierung zu verlieren",P,,,,,
585,," Man kann vielmehr in das Getriebe des gesellschaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen, schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen, wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichtspunkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt. punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.",Metapher,"Getriebe,Leuchte","des gesellschaftlichen Lebens,der Wissenschaft",A,"Bruch, pointiert, aber übliche Metapher",P,,,,,
586,," Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissenschaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen, weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.",Metaphernkandidat,,,,„wie in einem Brennpunkt“ ist ein direkter Vergleich,P,,,,,
587,," Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist, das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.",Metapher,lückenlos umspannen,Interessen,B,"Bruch, sprachlich irregulär, pointiert, nicht ersetzbar",P,,,,,
588,," Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner Vernunft am intensivsten beleuchtet werden, während das Licht nach außen zu immer schwächer wird und die entferntesten Gebiete beinah ganz im Dunklen bleiben.",Metapher,"gruppiert sich konzentrisch,Vom Lichte seiner Vernunft am intensivsten beleuchtet werden,das Licht nach außen immer schwächer wird","Die ganze Außenwelt,Gebiete,die entferntesten Gebiete",B,"Starker Bruch, sprachlich irregulär, nicht ersetzbar, pointiert",P,,,,,
589,," Der Mensch hat zwar theoretisch gelernt sich als einen Zweig wie tausend andere Zweige am Stamme der organischen Welt zu betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos anzuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den sie dem Menschen bringen.",Metapher,Stamm,der organischen Welt,A,"schwacher Bruch, sprachlich irregulär, pointiert",P,,,,,
590,," Er leuchtet nur in diejenigen Erscheinungen mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung der menschlichen Wohlfahrt erwartet.",Metapher,mit dem Lichte,seiner Vernunft,,,P,,,,,
591,," Eine Gesetzgebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats- gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staatsangehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos vergeuden und zu Grunde gehen.",Metapher,ihre Kräfte nutzlos vergeuden und zu Grunde gehen,Eine Gesetzgebung,,,P,,,,,
592,," Viel Streit hat sich über die Frage erhoben, durch welche Umstände sich der gesellig lebende Mensch aus der Tierheit aufgeschwungen und de facto zum Herrscher über alle anderen Tiere gemacht hat.",Metapher,aus der Tierheit,aufgeschwungen,A,"sprachlich irregulär, pointiert, nicht einfach ersetzbar „sich (zum Herrscher) aufschwingen ist eine Floskel. Nur das „aus der Tierheit“ macht den Ausdruck besonders und erzeugt einen leichten Bruch.",P,,,,,
593,," Das Gebiet positiven Wissens über den Gang der menschlichen Entwickelung beginnt aber erst da, wo uns Ethnologie und Geschichte zur Seite stehen.",Metaphernkandidat,,,,,P,,,,,
594,," Nur soweit ein Bedürfnis gebieterisch Befriedigung verlangt, existiert eine organisierte menschliche Tätigkeit und nur auf diesem Gebiete existiert ein Fortschritt, eine geschichtliche Entwickelung.",Metaphernkandidat,,,,"Dass ein Bedürfnis Befriedigung verlangt, ist kein auffälliger Ausdruck (kein Bruch)",P,,,,,
595,," Wem es eine Erklärung dünkt, diesen Trieb aus Nützlichkeitsgründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde gründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde oder zur besseren Beschaffung der Existenzmittel oder wie sonst immer zu erklären, dem steht dies frei, weil hier alles Wissen aufhört und das Gebiet der Vermutungen beginnt. Wir müssen uns an dieser Stelle damit begnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen. gnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen.",Metapher,der Vermutungen,Gebiet,A,"Leichter Bruch. sprachlich irregulär, pointiert",P,,,,,
596,," »Unter der ausschließlichen Herrschaft des Rechts des Stärkeren«, sagt Tylor3), würde ein Volksstamm in kurzer Zeit seiner Auflösung entgegen gehen«. Es ergibt sich hieraus, daß ein Zusammenleben in einer Gemeinschaft stets gewisse Regeln oder Gebräuche voraussetzt, kraft deren den einzelnen Hordengenossen gewisse Schranken ihrer Tätigkeit gesetzt werden.",Metaphernkandidat,,,,Man kann ja auch seinem Untergang entgegen gehen.,P,,,,,
597,," Eine weitere Folge der Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zufiel. fiel.",Metaphernkandidat,,,,„verwebt“ scheint mir nur als ein synonymer Ausdruck zu „verknüpft“.,P,,,,,
598,," Die Folge ist, daß selbst diejenigen Staaten, die heute keine offenbar verschiedenen Nationalitäten mehr beherbergen, aus der Zusammenschweißung zahlreicher Stämme verschiedener Nationalität und oft sogar verschiedener Rasse hervorgegangen sind, die erst allmählich durch das territoriale Zusammenleben und gegenseitige Kreuzung das Gefühl ihrer ursprünglichen Verschiedenheit verloren haben.",Metapher,Zusammenschweißung,zahlreicher Stämme,A,"sprachlich irregulär, pointiert, „Zusammenschweißung“ erscheint mir als eine Art Steigerung von Verschmelzung oder Vereinigung von Stämmen. Und zwar eine so starke, dass der Ausdruck dadurch auffällig wird und einen leichten Bruch erzeugt, gerade weil zusammenschweißen auch einen Akteur erfordert",P,,,,,
599,," Die Nationalitätenkämpfe des 19. Jahrhunderts (Polen in Preußen und Rußland, Ezechen in Östereich) beweisen, daß das Gefühl, welches den Menschen in erster Linie zu den ihm in Sitte, Sprache, körperlicher Organisation und Bedürfnissen möglichst ähnlichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurück- lichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurückstößt, noch nicht erloschen ist. stößt, noch nicht erloschen ist.",Metaphernkandidat,,,,"„Gefühl erlöschen“ erscheint mir bildhaft, Aber kein Bruch",P,,,,,
600,, Der Geist der alten Horde (gens) protestiert gegen das Territorialitätsprinzip des modernen Staates.,Metaphernkandidat,,,,Personifikation. Kein Bruch. Keine Metapher,P,,,,,
601,," Sobald aber eine Erscheinung im gesellschaftlichen Leben selten ist, steht sie in Gefahr, von der Sitte ganz ausgemerzt zu werden.",Metaphernkandidat,,,,Der Ausdruck „ausmerzen“ in diesem Zusammenhang erscheint mir als ein jargonhafter Ausdruck,P,,,,,
602,," Die Sitte approbiert nämlich immer nur die regelmäßig sich wiederholenden Erscheinungen und reprobiert die seltenen - d. h. der Regel widersprechenden — Erscheinungen Aus diesem Grunde sind die Ehen zwischen Personen, die sehr verschiedenen Alters sind, von der Sitte gemißbilligt und allmählich verhindert worden.",Metaphernkandidat,,,,„Die Sitte“ erschient mir nur als Synonym für „Gesellschaft“. Kein Bruch,P,,,,,
603,," Indem das Verhältnis durch die Sitte befestigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen festigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen nicht an Mitglieder ihres eigenen Stammes, die sich vielmehr ihre Frauen durch eigene Kraft, insbesondere durch Raub von fremden Stämmen, zu beschaffen hatten, sondern nur an Mitglieder fremder Stämme verheiratet werden durften.",Metaphernkandidat,,,,„befestigen“ erscheint mir nur ein ungewohntes Synonym für festlegen zu sein.,P,,,,,
604,," In dieser Form finden wir Eheverbote bei den Römern und Juden, und sie sind dann von hier aus besonders durch die christliche Kirche überallhin verpflanzt worden, sodaß jetzt neben den Eheverboten für Angehörige verschiedener Generationen daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen (Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote für Seitenverwandte bestehen, die derselben Generation angehören.",Metapher,verpflanzt,Eheverbot,B,"Bruch, sprachlich irregulär, pointiert, nicht ersetzbar ohne die Augenfälligkeit des Ausdrucks zu zerstören",P,,,,,
605,," Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn befähigt hat, in die Werkstatt der Natur einzudringen.",Metapher,der Natur,in die Werkstatt eindringen,B,"Bruch, sprachlich irregulär, pointiert, nicht ersetzbarer Ausdruck Man kann in Werkstätte eindringen, aber der Fokus ""der Natur"" irritiert.",P,,,,,
606,," Die Religion hat ihre größte Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche Leben von der Religion durchtränkt ist.",Metaphernkandidat,,,,Erscheint mir eher floskelhaft. Ohne Bruch,P,,,,,
607,," Mühsam und Schritt für Schritt hat die Wissenschaft, deren Wiege in eben denselben alten Kulturreichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den reichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den Boden abringen müssen, und die Grenzen sind noch heute in fortwährendem Flusse begriffen.",Metaphernkandidat,,,,Wiege der Wissenschaft erscheint mir als bloße Floskel,P,,,,,
608,," In demselben Moment, in dem die wissenschaftliche Erkenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung auf, ein religiöses Objekt zu sein.",Metapher,den Zauber der Dunkelheit,Wissenschaftliche Erkenntnis nimmt,B,"Bruch, sprachlich irregulär, pointiert, nicht ersetzbar. An sich eine eher übliche Lichtmetaphorik aber besonders ausgestaltet, sodass sie einen stärkeren Bruch erzeugt",P,,,,,
609,," Die Religion hat in diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen der Wissenschaft noch nicht abgeschlossen sind.",Metapher,Eroberungen der Wissenschaft,nicht abgeschlossen,B,"Bruch, pointiert, sprachlich irregulär, nicht ohne Weiteres ersetzbar",P,,,,,
610,30-59," Ohne solche Regeln würde die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand, der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben von Menschen sein würde.",Metaphernkandidat,,,,ein bisschen blumig. Aber in Atome zersplittern erscheint mir nur als blumiges Synonym für „in Einzelteile zerfallen“ zu sien,P,,,,,
611,," Aber noch ist die Zeit nicht gekommen, zu verlangen, daß nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten. Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen verschiedener Nationen ist auch eine Realität.",Metaphernkandidat,,,,Kein Bruch vorhanden.,P,,,,,
612,," Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und verschiedene Nationen zusammenzuschweißen, gescheitert sind.",Metapher,zusammenschweißen,Nationen,A,"Schwacher Bruch, sprachlich irregulär, pointiert",P,,,,,
613,," Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in Beziehung gesetzt werden.",Metapher,Beleuchtung,gewinnen,B,"Bruch, sprachlich irregulär, pointiert, aber Ausdruck auch ersetzbar, dann geht aber die Pointierung verloren.",P,,,,,
614,," Nietzsche hegt einen brennenden Haß gegen den Staat, d. h. den Träger der rechtlichen Zwangsgewalt, in dem er den Beschützer und Züchter aller mittelmäßigen und den Vernichter und Feind aller großen, genialen Individuen erblickt. viduen erblickt.",Metaphernkandidat,,,,brennender Hass erscheint mir eher als Floskel. Kein Bruch,P,,,,,
615,," Angriffe gegen den Staat sind schließlich auch von denjenigen erhoben worden, welche das im modernen Staat gipfelnde Gesellschaftsleben für ein der Menschheit verderbliches Kunstprodukt halten und demgegenüber die Rückkehr zur Natur fordern — ein Gedanke, der bekanntlich in Rousseau seinen glänzendsten Vertreter hatte.",Metaphernkandidat,,,,Kein Bruch,P,,,,,
616,," Will die Gesellschaft die natürliche Auslese befördern, so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Individuen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel hat und sich in den Dienst keines anderen Zieles spannen läßt.",Metapher,sich in den Dienst einspannen lässt,Die natürliche Auslese,B,"sprachlich irregulär, pointiert, nicht ersetzbar. Der Fokus irritiert hier, weil etwas Abstraktes wie ein physisches Objekt bzw. ein Nutztier behandelt wird.",P,,,,,
617,," Wir sind hiermit insoweit ganz einverstanden, als wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als möglich organisiert sind.",Metaphernkandidat,,,,Grenzfall. Das Bild von ausjäten bzw Gartenarbeit erscheint mir Jargon zu sein,P,,,,,
618,," Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz auf diese Weise immer komplizierter und künstlicher werden und die Gefahr nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze der natürlichen Auslese und der natürlichen Anpassung sich eines Tages nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künstliche Gebäude in sich zusammenstürzt. liche Gebäude in sich zusammenstürzt.",Metaphernkandidat,,,,Bildhafter Ausdruck. Aber ich wüsste nicht wo hier genau der Fokus und der Rahmen sein sollen,P,,,,,
619,," Die Menschheit hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Verletzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente ihres stolzen sozialen Baues zu unterminieren.",Metaphernkandidat,,,,Eher Floskel/Redewendung. Fundamente unterminieren (bzw. heute gebräuchlicher „untergraben“) ist eine übliche Foskel. Sprachlich irregulär aber ersetzbar. ein bisschen Grenzfall,P,,,,,
620,," Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften angepaßt sind. gepaßt sind.",Metapher,der Gedanken,steigt man aber aus der Welt (…) hinab,B,"Bruch, sprachlich irregulär, pointiert, nicht ersetzbar",P,,,,,
621,," Aber zwischen dem Punkte, wo uns das Mikroskop bei der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt uns, da es uns nur über den äußeren Vorgang der Kopulation zweier Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen über Theorieen auszufüllen versucht worden ist.",Metaphernkandidat,,,,Floskel ohne Bruch,P,,,,,
622,," Sicherlich ist durch die vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnisvollen und reizvollen Problems geschehen; daß wir aber heute bereits vor vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor einer gesicherten Lösung desselben stehen, wird niemand zu behaupten wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit verfolgt hat.",Metaphernkandidat,,,,ein bisschen grenzwertig. Aber Wege der Forschung ist ein üblicher Ausdruck.,P,,,,,
623,," Man sieht, daß wir auch durch diese weitgehende Aufhellung des Befruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur fruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur unbedeutend näher gerückt sind.",Metaphernkandidat,,,,Aufhellung eines Vorgangs erscheint mir eher als Jargon oder tote Metapher,P,,,,,
624,," »Diese gemmules«, sagt Darwin2), »sammeln sich aus allen Teilen des Körpers, um die Geschlechtsstoffe« (sc. Keimzellen) »zusammenzusetzen und ihre Entwicklung in der nächsten Generation bildet ein neues Wesen; aber sie sind gleicherweise auch fähig, in einem schlummernden Zustande an künftige Generationen überliefert und dann erst entwickelt zu werden.",Metaphernkandidat,,,,„schlummernder Zustand“ erscheint mir eher als Floskel,P,,,,,
625,," Hierdurch wird nämlich zwar nicht die Struktur (oder Architektur) der Keimzelle, wohl aber ihre Lebensenergie beeinflußt, und da das Maß dieser Lebensenergie dann wieder bei der Verschmelzung der väterlichen und mütterlichen Keimzelle für die Frage von Einfluß ist, welche von beiden dem neuen Individuum in höherem Maße ihren Stempel aufdrückt, so kommt auch manchen äußeren Umständen (nämlich denen, welche wie z. B. Syphilis, Alkoholismus eine erhebliche Störung im ganzen Organismus und eine Ernährungsstörung der Keimzellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu. zellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu.",Metaphernkandidat,,,,Stempel aufdrücken ist eine Floskel. Kein Bruch,P,,,,,
626,, Vielleicht ist auch ein Teil der Totgeburten auf das Konto eines solchen Anlasses zu schreiben. burten auf das Konto eines solchen Anlasses zu schreiben.,Metaphernkandidat,,,,Würde ich eher als tote Metapher ansehen,P,,,,,
627,," »Es ist nun noch daran zu erinnern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i. innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i. der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der geschlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Musterkarte für die natürliche Auslese dargeboten wird. karte für die natürliche Auslese dargeboten wird.",Metapher,eine fast unerschöpfliche Musterkarte für die natürliche Auslese,daß in jedem Kinde der nämlichen Eltern dargeboten wird,B,"starker Bruh, sprachlich irregulär, pointiert, nicht ersetzbar",P,,,,,
628,," Da nun bei der Verschmelzung beider Keimzellen gewissermaßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebens- maßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebensenergie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so energie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so kommen in dem Kinde dann hauptsächlich die Eigenschaften der stärkeren Zelle zum Vorschein.",Metaphernkandidat,,,,„gewissermaßen ein Kampf“ ist ein direkter Vergleich,P,,,,,
629,," Nicht diejenigen geistigen Eigenschaften sind vererblich, die sich der Einzelne im Laufe seines Lebens, dem Drucke äußerer Umstände gehorchend, ohne Rücksicht auf seine natürliche Beanlagung angeeignet hat, sondern nur diejenigen, zu deren Erwerbung er kraft der in ihm schlummernden Anlagen prädestiniert war.",Metaphernkandidat,,,,Wo ist der Bruch?,P,,,,,
630,," Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhältnisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden, nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden, sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in Zusammenhang zu bringen sind.",Metapher,über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht,Sitte,B,"Bruch. Sprachlich irregulär, pointiert. Etwas Abstraktes wie die Sitte wird wie ein Handlungsobjekt mit seinem eigenen Gebiet behandelt (oder die Sitte erscheint gleichzeitig als Gebiet selbst)",P,,,,,
