Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (A, B, C)	Begründung
	jetzt bei jeder aufsteigenden Neigung zu einer grausamen Handlung durch					
	Gedankenassoziation zugleich abmahnend ein ganzer Komplex von Vorstellungen					
	erhebt, welche jenen Wunsch als schlecht, als verachtenswert, als von bösen					
	Folgen begleitet erscheinen und ihn deshalb nicht zur Tat werden lassen.					
						
	Es ist nicht immer nötig, daß dieser der	nein				
	schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung					
	und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstel-					"Wiederholung des Gebrauchs von ""saugen""-> Floskel"
	lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von					
	selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und					
	Gewöhnung gewissermaßen allein.					
						
	Solange jene Neigung nicht	nein				
	zur alles verzehrenden Leidenschaft geworden ist und die gleichzeitig ge-					
	weckten Vorstellungen stark genug sind, werden sie in vielen Fällen die					
	Neigung, falls sie schlecht ist, besiegen und die schlechte Tat unausgeführt					
	lassen.					
						
	Die Schulen sind aber für	nein				
	diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch					
	ohne Schule und gegen die Schule bricht.					
						
	Wenn man		vollgepropft	den Regierenden genehmen Anschauungen	A oder B	
	etwa befürchtet, daß dann in den Schulen schon die Kinder mit gewissen					
	den Regierenden genehmen Anschauungen vollgepfropft würden, so ist zu	x				
	sagen, daß Mißbrauch mit jeder noch so vernünftigen Maßregel getrieben					
	werden kann.					
						
	Was wir meinen, ist nur	nein				
	dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch					"wiederholter Gebrauch von ""Getriebe"" -> eher floskelhaft"
	einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben					
	kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem					
	Teile — zur Förderung der Zwecke des Staates empfänglich und ge-					
	eignet sind.					
						
	Er muß damit rechnen, daß die einzelnen Volksgenossen bereits	nein				
	mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach					Floskel
	ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht					
	im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne					
	als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren ge-					
	nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges					"Vergleich mit ""als""!"
	Hindernis entgegenstellen.					
						
	Stehen wir durch die Vererbung körperlich in	nein				
	einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden					
	vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassen-					
	schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren					
	können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als					"Vergleich mit ""als""!"
	einem unverrückbaren Medium.					
						
	Das intelligenteste	nein				
	Europäerkind wird unter einem Stamm von Wilden nie auch nur entfernt					
	das Wissen und die Erfahrung eines gebildeten Europäers erreichen, weil					
	ihm das Medium fehlt, aus dem es dieses Wissen und diese Erfahrung					
	saugen könnte.					"Wiederholung ""saugen"" -> Floskel"
						
	Keine von ihnen ist die Errungenschaft einer ein-		auf den Schultern; ihr Scherflein ... beigetragen hat	der früheren steht; zum heutigen Stand	A oder B; B	oder Grenzfall?; 
	zigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler					
	Generationen, von denen die eine immer auf den Schultern der früheren	x				
	steht und von denen jede ihr Scherflein zu dem heutigen Stande beigetragen	x				
	hat.					
						
	Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel	nein				
	herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen					
	bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen,					
	die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten					hier wiederholter Gebrauch von Dunkeln
	zurückreichen.					
						
	Dies ist jedoch ein Miß-		durch die Schranken des Herkommens gefesselt	das Leben ... nach allen Richtungen hin	B	
	verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin	x				
	durch die Schranken des Herkommens gefesselt ist.«	x				
						
	Aber die Gestalten und Bilder, welche	x	gefallen sind;ihrem leisen Zuge	die Gestalten und Bilder	A; B oder C	"""gefallen"" fällt leicht auf, ist aber auch nicht so besonders kreativ;"
	einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten,	x				
	oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er	x				
	fröhlich ihrem leisen Zuge.	x				
						
	Die	nein				
	Sollvorschrift bildet dann gewissermaßen die Hülle oder Schale, die sich un-					Vergleich
	verändert erhält, während der Kern grundlegende Veränderungen erfahren					
	hat.					
						
	Überall machen sich starke Bestrebungen geltend, die überkommenen Sitten		nagenden 	Vernunft	A oder B	"fällt schon auf, warum sollte eine Vernunft ""nagend"" sein? Andererseits auch nicht besonders stark metaphorisch"
	und Gebräuche gegenüber der nagenden Vernunft aufrecht zu erhalten.	x				
						
	Oft		Schatten	der Vergangenheit	B	
	genug ist derjenige, der sich in der Jugend einst knirschend gegen die Macht					
	des Hergebrachten aufbäumte, gar nicht genug über diese Vergewaltigung					
	durch die Schatten der Vergangenheit klagen konnte, mit gereifterer Lebens-	x				
	anschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt					
	und ihn in ihre Geleise zwang.					
						
	Wie aber wäre dies möglich, da wir bis zur letzten Zelle	nein				
	unseres körperlich-geistigen Baues geschichtliche Wesen sind?					
						
	Würde die Vergangenheit sich nicht wie ein Schwergewicht an uns hängen	nein				"Vergleich mit ""wie""!"
	und als Ballast unserem sozialen Leben einen ruhigen Gang verleihen, so					
	würde dieses von Extrem zu Extrem schwanken und jedes Staatswesen wäre					
	ein Spielball in der Hand waghalsiger Experimentatoren.					"""Spielball"" -> Floskel!"
						
	Die Vorschriften der Sitte (von denen die Vorschriften der Etiquette,		fortpflanzen	durch mündliche Überlieferung	A	oder auch nur Grenzfall, da nicht besonders kreativ
	des gesellschaftlichen Anstandes als eine Unterabteilung aufzufassen und da-					
	durch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise,					
	die sich durch Beruf, Besitz, Stand oder Bildung verwandt fühlen, beschränkt					
	ist) unterliegen einer solchen durchgreifenden Revision durch die Vernunft					
	nicht, da sie sich lediglich durch mündliche Überlieferung fortpflanzen.	x				
						
	Wer plötz-	nein				
	lich mit der Forderung aufträte, es dürfe kein Tropfen eines geistigen Ge-					
	tränks mehr getrunken werden, weil der Alkoholgenuß schädlich sei, und die					
	augenblickliche Durchführung dieser Forderung erstrebte, wäre ein kompleter					
	Narr.					
						
	»Wir können den Lauf der Zeit nicht da-	nein				
	durch beschleunigen, daß wir unsere Uhren vorstellen: ein Zukunftsgesetz,					
	und wenn es die genialste Lösung der sozialen Fragen enthielte, es fände					
	kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln					fällt zwar auf, aber Fuß fassen und wurzeln sind doch recht floskelhaft
	könnte«, sagt Endemann1).					
						
	Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem		der Geburtshelfer; schwanger geht	des Gesellschaftslebens; mit neuen sozialen Erscheinungen	B oder C; B oder C	
	Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit	X				
	neuen sozialen Erscheinungen schwanger geht.	X				
						
	Die Vernunft einzelner Menschen kann vorher	nein				
	nicht genau ermessen, wie jene Änderung, die in das Triebwerk des sozialen					"wie ""Getriebe"" -> floskelhaft"
	Lebens eingreift und bis in die entferntesten Erscheinungen desselben ihren					
	Einfluß geltend macht, wirken wird.					
						
	Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins	nein				"Vergleich ""X ist Y"""
	dunkle.					
						
	Der beste Gesetzgeber ist deshalb derjenige, der sein Ziel stufen-		tote Buchstaben	seine gesetzgeberischen Maßnahmen	B	
	mäßig durch möglichst geringe Abänderungen der jeweilig geltenden recht-					
	lichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor					
	gefährlichen Experimenten bewahrt, immer in der Lage ist, den theoretisch					
	beabsichtigten Erfolg eines Gesetzes in der Praxis nachzuprüfen und anderer-					
	seits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein	x				
	des Volkes Anknüpfungspunkte finden und nicht tote Buchstaben bleiben.	x				
						
	Denn das Leben, sagt Endemann3), muß erst »die Rechtsgedanken verar-	nein				
	beiten, die als Keime in die Paragraphen eingeschlossen sind, damit die					"Vergleich mit ""als""!"
	Gesetzesbuchstaben lebendig werden.«					
						
	Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie	nein				
	das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe					
						
S. 120-149						
	Wenn also einzelne Soziologen	x	kein Gedeck an dem großen Gastmahl	der Natur	C	
	in der hohen Kindersterblichkeit in Deutschland befriedigt das Walten der					"""Walten"" -> Floskel!"
	natürlichen Auslese erblicken, wenn ein Autor (Otto Zacharias) in deut-					
	lichem Anklange an die 1. Auflage von Robert Malthus’ Hauptwerk den					
	Satz aufstellt, »daß die enorme Kindersterblichkeit der großen Städte die					
	Pforte sei, durch welche alle diejenigen jungen Leben, für welche kein Ge-					
	deck an dem großen Gastmahl der Natur aufgelegt ist, sich wieder entfernen					
	müssen«, so ist das eine völlige Verkennung der Tatsachen.					
						
	Unerkannt sitzt die geschlechtliche Zuchtwahl aber auch am Webstuhl	x	Webstuhl	der Geschichte	C	
	der Geschichte.					
						
	Ob nicht auch hier die individuelle Geschlechtsliebe	x	der Kompaß ... zusammenführt ... fernhält	welcher die zu einander, d. h. zur Erzeugung normal gebildeter Kinder passenden Personen	B oder C	
	der Kompaß ist, welcher die zu einander, d. h. zur Erzeugung normal					
	gebildeter Kinder passenden Personen zusammenführt und die nicht zusammen-					
	passenden von einander fernhält?					
						
	Freilich scheint uns auch hier wie zur Erreichung so vieler anderer	nein				
	wünschenswerter Ziele ein hohes und tief ins Herz des Volkes einge-					Würde Herz des Volkes nicht so als Metapher ansehen 
	grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein-					
	zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration					
	Beschränkungen auferlegt.					
						
	Nur	nein				
	auf diese Weise wird ins Herz des Volkes selbst ein Motiv gepflanzt, das					"hier wieder dieses ""einpflanzen""... -> Grenzfall"
	gewaltig wirkend den einzelnen im Banne hält und ihm die Entsagung					Würde Herz des Volkes nicht so als Metapher ansehen 
	dort leicht macht, wo sie durch kleinliche Zwangsmaßregeln überhaupt nie					
	zu erreichen sein würde.					
						
	Die Zeitungen	x	das Vergrößerungsglas	ihres Parteiinteresses	B oder C	
	sehen alle Dinge durch das Vergrößerungsglas ihres Parteiinteresses und					
	des Bestrebens, dem Leser für ihre Mitteilungen ein möglichst großes					
	Interesse einzuflößen.					
						
	Die ohnehin schon sehr dürftige wirtschaftliche Existenz des Arbeiters	nein				
	hing also fortwährend an einem dünnen Faden, da außer jenen Krisen auch					"""an einem dünnen Faden hängen"" -> Floskel!"
	noch die im Beginn der kapitalistischen Ära sehr häufige Erfindung und					
	und Einführung arbeitsparender Maschinen den Arbeiter ständig mit Ent-					
	lassung bedrohte.					
						
	Als Schüler der Hegelschen Philosophie hatten	nein				
	sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren					
	Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten					"wiederholter Gebrauch von ""durchtränkt"" erweckt Floskelhaftigkeit"
	sozialistischen Vorgänger.					
						
	»Eine Gesellschaftsformation	x	ausgebrütet 	im Schoß der alten Gesellschaft	A oder B	"klingt schon auffällig, aber sehr grenzfällig, da ""Schoß der X"" eher floskelhaft"
	geht nie unter«, sagt Marx1), »bevor alle Produktivkräfte entwickelt sind,					
	für die sie weit genug ist, und neue höhere Produktionsverhältnisse treten					
	nie an die Stelle, bevor die materiellen Existenzbedingungen derselben im					
	Schoß der alten Gesellschaft selbst ausgebrütet worden sind.«					
						
	Und da diese sozialen	nein				
	Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem					
	es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle					"häufige Verwendung von ""saugen"" -> floskelhaft"
	Geistesleben von den Produktionsverhältnissen bestimmt.					
						
	Man kann mit dem Marx’schen Gedankengange eine ganze Strecke	nein				Floskelhaft
	weit mitgehen.					
						
	Es ist richtig, daß die Wirtschaftsweise eines Volkes seinem	nein				
	ganzen sozialen Leben ihren Stempel aufdrückt, aber einerseits ist diese Er-					"""Stempel aufdrücken"" -> Floskel"
	kenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer					
	Faktoren, die im gesellschaftlichen Leben mitwirken, überspannt, zum anderen					
	gibt die methodische Durchführung jener Erkenntnis zu Bedenken Anlaß.					
						
S. 150-175						
	Zwar besteht	nein				
	heut innerhalb jeder Schicht ein hoher Grad von Beweglichkeit, und viel					
	Beweglichkeit auch zwischen den Schichten, aber die gesellschaftlichen Schranken					häufiger Gebrauch -> floskelhaft
	werden noch aufrecht erhalten.					
						
	Die Menschheit macht mit der Realisierung der sozialistischen Forderung	nein				
	noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das					
	Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon					
	selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.					
						
	Sobald aber die Forderung	x	mystischen Schimmers entkleidet	die Forderung (der Vergesellschaftung der Produktionsmittel)	A oder B 	
	der Vergesellschaftung der Produktionsmittel ihres mystischen Schimmers					
	entkleidet und als ein rechtlicher Reformvorschlag wie andere Reformvorschläge					
	angesehen werden wird, wird sie von sozialdemokratischer Seite selbst auch					
	unbefangener und nüchterner betrachtet werden.					
