Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
	von mächtigem Einfluß gewesen, sondern sie hat auch durch ihre Aufnahme und Verarbeitung									
	seitens vielgelesener Autoren immer neue Quellen der Verbreitung gewonnen, vor allem									
	durch die Werke Papst Gregor des Großen, der ganz auf ihrem Boden steht, und dessen									
	»Moralia« namentlich wichtigste Stücke derselben zum Gemeingut der Gebildeten jener									
	Zeiten gemacht haben.									
										
	Und so mißlingt es immer wieder, die Gewalt des	nein								ein Kampf, der auflodert (wie ein Feuer) -> floskelhaft
	ungeheuren Gemeinwesens an einem Punkte zu sammeln, der Kampf der									
	Teile untereinander dauert fort, bis das Reich im Interregnum zusammen-									
	bricht, und lodert nun erst recht auf.									
										
S. 251-280										
	Nach dem Morden des Marius und Sulla herrscht auf dem Markte der Knittel ge-	nein								Knittel gemieteter Banden -> fällt auf, aber was ist damit gemeint? nein gesetzt (29.08.20), weil Kontext unklar
	mieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht									
	vorsichtig aus dem Wege gingen.									
										
	Erst wenn das	x	Altar	des Vaterlandes 	... to do ...					
	letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird,									
	dann mag der große König, der das zuwege gebracht haben wird, auch das									
	Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.									
										
	Dazu gehört nicht blos die Verbrecherwelt, welche sich im offenen	x	Umsturz	des bestehenden Rechts	ja	unklar	ja	ja	A	Stelle fällt einerseits auf, aber unklar, ob nicht doch leicht ersetzbar; wenn, dann eher Grenzfall
	oder heimlichen Kampfe gegen das bestehende Recht befindet; es gehören									
	dazu einerseits auch alle diejenigen, welche an ererbten Vorrechten festhalten									
	und nicht dulden wollen, daß dieselben aus Gründen der ausgleichenden									
	Gerechtigkeit verkürzt werden, andererseits diejenigen welche nicht auf Ver-									
	besserung, sondern auf den Umsturz des bestehenden Rechts hinarbeiten, um									
	es sodann durch einen vermeintlichen Idealzustand zu ersetzen.									
										
	So ist die große Weltscharfrichterin Auslese auch im Leben der Staaten	x	die große Weltscharfrichterin	Auslese	ja	ja	ja	ja	A oder B	Unklar, ob definitiv Bruch vorhanden, weil direkter Vergleich? Stelle lässt sich konkret in Fokus und Rahmen teilen.
	fortwährend tätig, um extreme, schlecht angepaßte, unausgeglichene staats-									
	rechtliche Verhältnisse zu beseitigen, so daß nur mittlere, besser angepaßte,									
	ausgeglichene übrig bleiben.									
										
	Erst nach dem Auftreten Luthers gewannen die meisten der jungen	x	Fangarmen und Saugnäpfen	dieses Riesenorganismus [Deutschland ... Europa]	ja	ja	ja	ja	B oder C	Bruch definitiv vorhanden, unersetzlich, originelle Verwendung Biologische Begriffe in Bezug auf Staaten/Europa
	germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut									
	und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorga-									
	nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen									
	lagen, zu eigenen Landeskirchen umzuformen.									
										
	So ist denn die innere politische Geschichte des römischen Kaiserreichs	nein								Vergleich
	der ersten christlichen Jahrhunderte die Geschichte eines langsamen inneren									
	Verfaulens, bis es in der ungeheuren Krisis von 235—285 völlig zu-									
	sammenbricht.									
										
	»Zu Grunde gegangen ist«, so urteilt Mommsen2), »wie der Römerstaat des	nein								
	Prinzipats, so auch der restaurierte Diocletians . . . nicht durch die Barbaren, sondern an									
	innerer Fäulnis.«									
										
	Die Folge davon war schließlich eine vollständige Aushöhlung der	nein								"würde ""Aushölung"" als sehr zugespitzt gesagt bezeichnen "
	weltlichen Gemeinwesen durch das geistliche, eine vollständige Vernichtung									
	alles weltlichen Rechtes durch das kirchliche Recht.									
										
S. 281-317										
	Und noch waren nicht hundert	nein								nein gesetzt (29.08.20), weil Kontext unklar
	Jahre vergangen, da war der Segenswunsch des sterbenden Löwen erfüllt:									
	da war Berlin die Hauptstadt des neuen deutschen Reiches.									
										
	Ob es Frank-	nein 								
	reich und Italien gelingen wird die Fesseln der römischen Kirche zu sprengen									
	und alsdann den Vorsprung, den die protestantischen Staaten auch vor									
	ihnen bereits gewonnen haben, noch einzuholen, muß die Zukunft lehren.									
										
	Die Kirche muß, je vollständiger sie sich als solche vollendet, desto mehr eine Fessel	nein								
	des von ihr selbst groß gezogenen christlichen Lebens werden, und indem sie demzufolge sich									
	mit diesem je länger desto ernstlicher überwirft, muß sie nach und nach wieder in sich selbst									
	zerfallen.									
										
	Jeden Morgen drängen sich uns neue Beweise dafür auf, wie durch den ganzen	nein								"""wie""!"
	Staatskörper hindurch immer weitere Kreise ziehende Wellenbewegungen von Ursachen und									
	Wirkungen sich ausbreiten, die so verwickelter Natur sind, daß selbst der schärfte Verstand									
	ihre gesammten Folgen nimmermehr zu überschauen vermöchte. 									
										
										
	Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder	nein								ersetzbare Stellen
	ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung,									
	ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der									
	Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen									
	Freiheit aufzuräumen. 									
										
	Wie stark waren doch die alten Landrechte des späteren Mittelalters, meist nur Kodifikationen	nein								"""Flut an..."" fällt zunächst auf, aber ersetzbar und eher floskelhaft"
	bestehenden Rechtes, durch eine Flut landesherrlicher Verordnungen überholt worden, die									
	mit und ohne Bitten oder Rat der Landstände neues Recht schufen! 									
										
	Den Frieden aber hat der Staat geschaffen; und darum ist der	x	Wiege	der Freiheit	ja	ja, oder?	ja	ja	A	Klingt aber auch irgendwie Floskelhaft, würde als Grenzfall aufnehmen 
	Staat, das letzte und bisher höchste Naturprodukt, welches wir kennen,									
	nicht, wie blöder Unverstand glaubt, das Grab, sondern die Wiege der									
	Freiheit.									
										
	Staaten hat es keineswegs, wie Viele behaupten, seit undenklichen	nein								Erklärung Staat -> keine Metapher!
	Zeiten gegeben; der Staat ist vielmehr ein sehr junges Gebilde.									
										
	Ein anderer	x	ins Fleisch ... vererbt	der Modernität	ja	ja	ja	ja	B	Begriff aus der Biologie in diesem Kontext, erzeugt Bruch. originell
	christlicher, nicht weniger verrückter Begriff hat sich noch weit tiefer ins Fleisch der Modernität									
	vererbt: der Begriff von der »Gleichheit der Seelen vor Gott.«									
										
	Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe	x	einen breiten irdischen Zettel	nur ein Einschlag in	ja	ja definitiv	ja	ja definitiv	C	Sehr originell, Bruch konkret vorhanden, da man über die Stelle stolpert und sich fragt, was überhaupt damit gemeint ist!
	gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.									
										
	Sie hatten aus der Religion ein irdisches Gewerbe gemacht — es gab nichts Ab-	nein								Bruch nicht erkennbar, Stelle fällt zwar etwas auf, aber nicht originell; ersetzbar
	scheulicheres.«									
										
	Das verträgt sich	nein								"""Demut überwuchern"" fällt zunächst auf, aber lässt sich ersetzen (durchwachsen, überschüttet)"
	eben nicht zusammen: sie haben leider noch sehr viel anderes daneben, was									
	die Demut nur allzuleicht und allzusehr überwuchert.									
										
	Der Wert unserer modernen Umwälzungen wäre in der Tat	nein								"""Umwälzung"" fällt auf, aber kein Rahmen erkennbar; ""Atomisierung des Volkes"" fällt auf, aber wird immer wieder verwendet -> Anschein von floskelhafter Verwendung"
	ein sehr problematischer, wenn sie allein jene Kraft beeinflußte, welche positiv schöpferisch									
	nur zu Gunsten einer unbedingten Staatseinheit, bezüglich aller anderen Organismen aber									
	lediglich auflösend und negierend wirkt, aus deren einseitiger Vollendung daher die Zentrali-									
	sation und Mechanisierung des Staates und die Atomisierung des Volkes unausbleiblich									
	hervorgehen müßte.									
										
	Daß dem nicht so ist, verdanken wir dem neu erwachten Assoziations-	x	neu erwachter Assoziationsgeist // die Atome // Neuverbindungen von organischer Struktur	das Volk	ja	ja	ja	ja	B oder C	
	geist. Er, indem er von unten auf alle öffentlichen Verbände mit einem selbständigen									
	Gemeinleben zu erfüllen strebt, indem er aber gleichzeitig die Atome, in welche das Volk									
	sich zu lösen droht, in zahllose Neuverbindungen von organischer Struktur und eigener									
	Lebenskraft zusammenschließt, ist daher das eigentlich positive, gestaltgebende Prinzip der									
	neuen Epoche, welche für die deutsche Rechts- und Verfassungsentwickelung in unserem									
	Jahrhundert angebrochen ist.									
										
	Unter der vertrocknenden Wirkung des Zweifels, und ohne daß vielleicht das Ver-	x	vertrocknenden Wirkung	des Zweifels	ja	ja, was soll damit überhaupt gemeint sein 	ja	ja	B	"Nachtrag: ""Nichts hält mehr Stich, das Ausreißen ist vollständig."" -> Ganzer Satz fällt auf, aber schwer, konkreten Rahmen zu finden!"
	brechen häufiger und die Tugend seltener geworden wäre, ist die französische Moralität in									
	ihrem Innersten zerstört. Nichts hält mehr Stich, das Ausreißen ist vollständig.									
