Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
	Und so mißlingt es immer wieder, die Gewalt des	nein								"Ich glaube hier ist ""Gewalt"" als Synonym für ""Macht"" gebraucht, dadurch klingt es /für heutige Ohren) ungewöhnlich, ohne dass tatsächlich ein Bruch vorliegt"
	ungeheuren Gemeinwesens an einem Punkte zu sammeln, der Kampf der									
	Teile untereinander dauert fort, bis das Reich im Interregnum zusammen-									
	bricht, und lodert nun erst recht auf.									
										
S. 251-280										
	Nach dem Morden des Marius und Sulla herrscht auf dem Markte der Knittel ge-	nein								"""es herrscht jemand oder etwas"" ist eine Redewendung/Floskel"
	mieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht									
	vorsichtig aus dem Wege gingen.									
										
	Erst wenn das									
	letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird,	x	auf dem ALtar des Vaterlandes niederlegen	das Erbrecht	ja	ja	ja	ja	B	
	dann mag der große König, der das zuwege gebracht haben wird, auch das									
	Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.									
										
	Dazu gehört nicht blos die Verbrecherwelt, welche sich im offenen	nein								"erscheint mir alles bloß Jargon zu sein. ""Vorrechte verkürzen"" erscheint mir nur als Synonym für ""(Vor)rechte beschneiden"". das ist eine Floskel"
	oder heimlichen Kampfe gegen das bestehende Recht befindet; es gehören									
	dazu einerseits auch alle diejenigen, welche an ererbten Vorrechten festhalten									
	und nicht dulden wollen, daß dieselben aus Gründen der ausgleichenden									
	Gerechtigkeit verkürzt werden, andererseits diejenigen welche nicht auf Ver-									
	besserung, sondern auf den Umsturz des bestehenden Rechts hinarbeiten, um									
	es sodann durch einen vermeintlichen Idealzustand zu ersetzen.									
										
	So ist die große Weltscharfrichterin Auslese auch im Leben der Staaten	x	die große Weltscharfrichterin	Auslese	nein	ja	ja	ja	B	Personifizierung der Auslese, diese wird aber ausgebaut zu einem sehr auffälligen Ausdruck
	fortwährend tätig, um extreme, schlecht angepaßte, unausgeglichene staats-									
	rechtliche Verhältnisse zu beseitigen, so daß nur mittlere, besser angepaßte,									
	ausgeglichene übrig bleiben.									
										
	Erst nach dem Auftreten Luthers gewannen die meisten der jungen	x	sich den Fangarmen und Saugnäpfen dieses Riesenorganismus zu entreißen	gewannen die meisten der jungen germanischen Staaten den Mut und die Kraft		ja	ja	ja	B	
	germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut									
	und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorga-									
	nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen									
	lagen, zu eigenen Landeskirchen umzuformen.									
										
	So ist denn die innere politische Geschichte des römischen Kaiserreichs	nein								bildhafter Ausdruck, aber ich sehe keinen Bruch
	der ersten christlichen Jahrhunderte die Geschichte eines langsamen inneren									
	Verfaulens, bis es in der ungeheuren Krisis von 235—285 völlig zu-									
	sammenbricht.									
										
	»Zu Grunde gegangen ist«, so urteilt Mommsen2), »wie der Römerstaat des	nein								"Grenzfall. Erscheint mir sicher als bildhaftr Ausdruck, aber ""innere Fäulnis"" erscheint mir durch andere Ausdrücke ersetzbar"
	Prinzipats, so auch der restaurierte Diocletians . . . nicht durch die Barbaren, sondern an									
	innerer Fäulnis.«									
										
	Die Folge davon war schließlich eine vollständige Aushöhlung der	nein								AUshöhlung von Gemeinwesen und Vernichtung von Recht sind FLoskeln, kein Bruch
	weltlichen Gemeinwesen durch das geistliche, eine vollständige Vernichtung									
	alles weltlichen Rechtes durch das kirchliche Recht.									
										
S. 281-317										
	Und noch waren nicht hundert	x	des sterbenden Löwens	der Segenswunsch war erfüllt	ja	ja	ja	ja	B	
	Jahre vergangen, da war der Segenswunsch des sterbenden Löwen erfüllt:									
	da war Berlin die Hauptstadt des neuen deutschen Reiches.									
										
	Ob es Frank-									
	reich und Italien gelingen wird die Fesseln der römischen Kirche zu sprengen	x	der römischen Kirche	Fesseln sprengen	ja	ja	ja	ja	B	Fesseln sprengen ist zwar eine Floskel aber in Kombination mit der römischen Kirche würde ich schon sagen, dass es einen Bruch gibt
	und alsdann den Vorsprung, den die protestantischen Staaten auch vor									
	ihnen bereits gewonnen haben, noch einzuholen, muß die Zukunft lehren.									
										
	Die Kirche muß, je vollständiger sie sich als solche vollendet, desto mehr eine Fessel									bildhafter AUsdruck
	des von ihr selbst groß gezogenen christlichen Lebens werden, und indem sie demzufolge sich									
	mit diesem je länger desto ernstlicher überwirft, muß sie nach und nach wieder in sich selbst									
	zerfallen.									
										
	Jeden Morgen drängen sich uns neue Beweise dafür auf, wie durch den ganzen	x	von Ursache und Wirkung	die Wellenbewegungen sich ausbreiten	ja	ja	ja	ja	B	
	Staatskörper hindurch immer weitere Kreise ziehende Wellenbewegungen von Ursachen und									
	Wirkungen sich ausbreiten, die so verwickelter Natur sind, daß selbst der schärfte Verstand									
	ihre gesammten Folgen nimmermehr zu überschauen vermöchte. 									
										
										
	Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder	nein								erscheint mir zwar bildhaft, aber auch floskelhaft, ohne wirklichen Bruch
	ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung,									
	ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der									
	Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen									
	Freiheit aufzuräumen. 									
										
	Wie stark waren doch die alten Landrechte des späteren Mittelalters, meist nur Kodifikationen	x	landesherrlicher Verordnungen	durch Flut überrolt	ja	nein	ja	ja	A	Flut von etw ist aber eine sehr häufige Metapher. ANder Grenze zur Floskel. 
	bestehenden Rechtes, durch eine Flut landesherrlicher Verordnungen überholt worden, die									
	mit und ohne Bitten oder Rat der Landstände neues Recht schufen! 									
										
	Den Frieden aber hat der Staat geschaffen; und darum ist der							ja	A	Wiege oder Grab von etwas sein erscheint mir Redewendung/FLoskel und erzeugt keinen Bruch
	Staat, das letzte und bisher höchste Naturprodukt, welches wir kennen,									
	nicht, wie blöder Unverstand glaubt, das Grab, sondern die Wiege der									
	Freiheit.									
										
	Staaten hat es keineswegs, wie Viele behaupten, seit undenklichen	nein								kein Bruch, wo sollen Fokus und Rahmen sein?
	Zeiten gegeben; der Staat ist vielmehr ein sehr junges Gebilde.									
										
	Ein anderer	x	ins Fleisch der Modernität vererbt	ein nicht weniger verrückter Begriff	ja	ja	ja	ja	B	
	christlicher, nicht weniger verrückter Begriff hat sich noch weit tiefer ins Fleisch der Modernität									
	vererbt: der Begriff von der »Gleichheit der Seelen vor Gott.«									
										
	Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe									ich verstehe den Ausdruck nicht
	gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.									
										
	Sie hatten aus der Religion ein irdisches Gewerbe gemacht — es gab nichts Ab-	nein								fällt das nicht unter direkten Vergleich?
	scheulicheres.«									
										
	Das verträgt sich	x	nur allzuleicht und allzusehr überwuchert	die Demut	ja	ja	ja	ja	B	
	eben nicht zusammen: sie haben leider noch sehr viel anderes daneben, was									
	die Demut nur allzuleicht und allzusehr überwuchert.									
										
	Der Wert unserer modernen Umwälzungen wäre in der Tat	nein							A	Atomisierung erscheint mir eher als Floskel
	ein sehr problematischer, wenn sie allein jene Kraft beeinflußte, welche positiv schöpferisch									
	nur zu Gunsten einer unbedingten Staatseinheit, bezüglich aller anderen Organismen aber									
	lediglich auflösend und negierend wirkt, aus deren einseitiger Vollendung daher die Zentrali-									
	sation und Mechanisierung des Staates und die Atomisierung des Volkes unausbleiblich									
	hervorgehen müßte.									
										
	Daß dem nicht so ist, verdanken wir dem neu erwachten Assoziations-	x	in zahllose Neuverbindungen von organischer Struktur und eigener Lebenskraft zusammenschließt	Assoziationsgeist	ja	ja	ja	ja	B	Zu Atomisierung siehe oben (FLoskel)
	geist. Er, indem er von unten auf alle öffentlichen Verbände mit einem selbständigen									
	Gemeinleben zu erfüllen strebt, indem er aber gleichzeitig die Atome, in welche das Volk									
	sich zu lösen droht, in zahllose Neuverbindungen von organischer Struktur und eigener									
	Lebenskraft zusammenschließt, ist daher das eigentlich positive, gestaltgebende Prinzip der									
	neuen Epoche, welche für die deutsche Rechts- und Verfassungsentwickelung in unserem									
	Jahrhundert angebrochen ist.									
										
	Unter der vertrocknenden Wirkung des Zweifels, und ohne daß vielleicht das Ver-	x	vertrocknenden	Wirkung des Zweifel	ja	ja	ja	ja	B	
	brechen häufiger und die Tugend seltener geworden wäre, ist die französische Moralität in									
	ihrem Innersten zerstört. Nichts hält mehr Stich, das Ausreißen ist vollständig.									
