Abschnitt	Stelle	B	K	P	A
	Wer plötz-	nein	nein	nein	nein
	lich mit der Forderung aufträte, es dürfe kein Tropfen eines geistigen Ge-				
	tränks mehr getrunken werden, weil der Alkoholgenuß schädlich sei, und die				
	augenblickliche Durchführung dieser Forderung erstrebte, wäre ein kompleter				
	Narr.				
					
	»Wir können den Lauf der Zeit nicht da-	x	x	nein	x
	durch beschleunigen, daß wir unsere Uhren vorstellen: ein Zukunftsgesetz,				
	und wenn es die genialste Lösung der sozialen Fragen enthielte, es fände				
	kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln				
	könnte«, sagt Endemann1).				
					
	Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem	x	x	x	x
	Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit				
	neuen sozialen Erscheinungen schwanger geht.				
					
	Die Vernunft einzelner Menschen kann vorher	x	x	nein	x
	nicht genau ermessen, wie jene Änderung, die in das Triebwerk des sozialen				
	Lebens eingreift und bis in die entferntesten Erscheinungen desselben ihren				
	Einfluß geltend macht, wirken wird.				
					
	Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins	nein	x	nein	nein
	dunkle.				
					
	Der beste Gesetzgeber ist deshalb derjenige, der sein Ziel stufen-	nein	x	x	x
	mäßig durch möglichst geringe Abänderungen der jeweilig geltenden recht-				
	lichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor				
	gefährlichen Experimenten bewahrt, immer in der Lage ist, den theoretisch				
	beabsichtigten Erfolg eines Gesetzes in der Praxis nachzuprüfen und anderer-				
	seits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein				
	des Volkes Anknüpfungspunkte finden und nicht tote Buchstaben bleiben.				
					
	Denn das Leben, sagt Endemann3), muß erst »die Rechtsgedanken verar-	x	x	nein	x
	beiten, die als Keime in die Paragraphen eingeschlossen sind, damit die				
	Gesetzesbuchstaben lebendig werden.«				
					
	Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie	x	nein	nein	nein
	das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe				
	einer Dampfmaschine die Leistungen von Riesen übertreffen.				
					
					
S. 120-149					
	Wenn also einzelne Soziologen	x	x	x	nein
	in der hohen Kindersterblichkeit in Deutschland befriedigt das Walten der				nein
	natürlichen Auslese erblicken, wenn ein Autor (Otto Zacharias) in deut-				
	lichem Anklange an die 1. Auflage von Robert Malthus’ Hauptwerk den				
	Satz aufstellt, »daß die enorme Kindersterblichkeit der großen Städte die				
	Pforte sei, durch welche alle diejenigen jungen Leben, für welche kein Ge-				
	deck an dem großen Gastmahl der Natur aufgelegt ist, sich wieder entfernen				
	müssen«, so ist das eine völlige Verkennung der Tatsachen.				
					
	Unerkannt sitzt die geschlechtliche Zuchtwahl aber auch am Webstuhl	x	x	x	x
	der Geschichte.				
					
	Ob nicht auch hier die individuelle Geschlechtsliebe	x	x	nein	x
	der Kompaß ist, welcher die zu einander, d. h. zur Erzeugung normal				
	gebildeter Kinder passenden Personen zusammenführt und die nicht zusammen-				
	passenden von einander fernhält?				
					
	Freilich scheint uns auch hier wie zur Erreichung so vieler anderer	x	nein	x	x
	wünschenswerter Ziele ein hohes und tief ins Herz des Volkes einge-				
	grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein-				
	zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration				
	Beschränkungen auferlegt.				
					
	Nur	x	?	x	x
	auf diese Weise wird ins Herz des Volkes selbst ein Motiv gepflanzt, das				
	gewaltig wirkend den einzelnen im Banne hält und ihm die Entsagung				
	dort leicht macht, wo sie durch kleinliche Zwangsmaßregeln überhaupt nie				
	zu erreichen sein würde.				
					
	Die Zeitungen	x	x	x	x
	sehen alle Dinge durch das Vergrößerungsglas ihres Parteiinteresses und				
	des Bestrebens, dem Leser für ihre Mitteilungen ein möglichst großes				
	Interesse einzuflößen.				
					
	Die ohnehin schon sehr dürftige wirtschaftliche Existenz des Arbeiters	nein	nein	nein	nein
	hing also fortwährend an einem dünnen Faden, da außer jenen Krisen auch				
	noch die im Beginn der kapitalistischen Ära sehr häufige Erfindung und				
	und Einführung arbeitsparender Maschinen den Arbeiter ständig mit Ent-				
	lassung bedrohte.				
					
	Als Schüler der Hegelschen Philosophie hatten	x	nein	x	nein
	sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren				
	Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten				
	sozialistischen Vorgänger.				
					
	»Eine Gesellschaftsformation	x	x	x	x
	geht nie unter«, sagt Marx1), »bevor alle Produktivkräfte entwickelt sind,				
	für die sie weit genug ist, und neue höhere Produktionsverhältnisse treten				
	nie an die Stelle, bevor die materiellen Existenzbedingungen derselben im				
	Schoß der alten Gesellschaft selbst ausgebrütet worden sind.«				
					
	Und da diese sozialen	x	nein	x	x
	Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem				
	es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle				
	Geistesleben von den Produktionsverhältnissen bestimmt.				
					
	Man kann mit dem Marx’schen Gedankengange eine ganze Strecke	nein	nein	nein	x
	weit mitgehen.				
					
	Es ist richtig, daß die Wirtschaftsweise eines Volkes seinem	nein	nein	nein	x
	ganzen sozialen Leben ihren Stempel aufdrückt, aber einerseits ist diese Er-				
	kenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer				
	Faktoren, die im gesellschaftlichen Leben mitwirken, überspannt, zum anderen				
	gibt die methodische Durchführung jener Erkenntnis zu Bedenken Anlaß.				
					
					
S. 150-175	Zwar besteht	nein	nein	nein	nein
	heut innerhalb jeder Schicht ein hoher Grad von Beweglichkeit, und viel				
	Beweglichkeit auch zwischen den Schichten, aber die gesellschaftlichen Schranken				
	werden noch aufrecht erhalten.				
					
	Die Menschheit macht mit der Realisierung der sozialistischen Forderung	nein	?	x	x
	noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das				
	Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon				
	selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.				
					
	Sobald aber die Forderung	x	x	x	x
	der Vergesellschaftung der Produktionsmittel ihres mystischen Schimmers				
	entkleidet und als ein rechtlicher Reformvorschlag wie andere Reformvorschläge				
	angesehen werden wird, wird sie von sozialdemokratischer Seite selbst auch				
	unbefangener und nüchterner betrachtet werden.				
