Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung
	Man kann auf diese Weise eine	nein				merkwürdige Ausdrucksweise gepaart mit Floskeln lassen diese Stelle auffällig wirken, einen richtigen Bruch erkenne ich jedoch nicht, eine Umformulierung wäre wohl weitestgehend verlustfrei möglich
	böse Anlage, z. B. die Neigung zur Grausamkeit, nie eigentlich ganz er-					
	töten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin,					
	aber sie wird unschädlich, weil sich als Frucht guter Erziehung im Kinde					
	jetzt bei jeder aufsteigenden Neigung zu einer grausamen Handlung durch					
	Gedankenassoziation zugleich abmahnend ein ganzer Komplex von Vorstellungen					
	erhebt, welche jenen Wunsch als schlecht, als verachtenswert, als von bösen					
	Folgen begleitet erscheinen und ihn deshalb nicht zur Tat werden lassen.					
						
	Es ist nicht immer nötig, daß dieser der	x	saugt	diese Vorstellungen	A	irreguläre Sprachverknüpfung, dadurch Bruch und neue Semantik, nicht ersetzbar
	schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung					
	und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstel-					
	lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von					
	selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und					
	Gewöhnung gewissermaßen allein.					
						
	Solange jene Neigung nicht	nein				gewöhnliche Sprachausdrücke, evtl. Floskeln
	zur alles verzehrenden Leidenschaft geworden ist und die gleichzeitig ge-					
	weckten Vorstellungen stark genug sind, werden sie in vielen Fällen die					
	Neigung, falls sie schlecht ist, besiegen und die schlechte Tat unausgeführt					
	lassen.					
						
	Die Schulen sind aber für	x	bricht	seinen Weg	A	Bruch durch brechen, irreguläre Verknüpfung von Weg und brechen, stärkere Betonung als einen Weg gehen, daher nicht austauschbar und verweist auf Probleme etc.
	diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch					
	ohne Schule und gegen die Schule bricht.					
						
	Wenn man	x	vollgepropft	mit Anschauungen	A	Bruch und Verweisung auf pflanzlichen Bereich, Betonung, nicht ersetzbar
	etwa befürchtet, daß dann in den Schulen schon die Kinder mit gewissen					
	den Regierenden genehmen Anschauungen vollgepfropft würden, so ist zu					
	sagen, daß Mißbrauch mit jeder noch so vernünftigen Maßregel getrieben					
	werden kann.					
						
	Was wir meinen, ist nur	nein				kombinierte Floskeln
	dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch					
	einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben					
	kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem					
	Teile — zur Förderung der Zwecke des Staates empfänglich und ge-					
	eignet sind.					
						
	Er muß damit rechnen, daß die einzelnen Volksgenossen bereits	nein				"Floskel, wenn auch durch den Zusatz ""fest"" etwas betont"
	mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach					
	ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht					
	im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne					
	als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren ge-					
	nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges					
	Hindernis entgegenstellen.					
						
	Stehen wir durch die Vererbung körperlich in	nein				wohl wörtlich gemeint, zudem kein Bruch etc.
	einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden					
	vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassen-					
	schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren					
	können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als					
	einem unverrückbaren Medium.					
						
	Das intelligenteste	x	saugen	dieses Wissen und diese Erfahrung	A	"Wiederholung der früheren Metapher des ""Saugens"" in bezug auf Abstrakta, dadurch Bruch, nicht austauschbar"
	Europäerkind wird unter einem Stamm von Wilden nie auch nur entfernt					
	das Wissen und die Erfahrung eines gebildeten Europäers erreichen, weil					
	ihm das Medium fehlt, aus dem es dieses Wissen und diese Erfahrung					
	saugen könnte.					
						
	Keine von ihnen ist die Errungenschaft einer ein-	nein				Floskel, gängiges Bild
	zigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler					
	Generationen, von denen die eine immer auf den Schultern der früheren					
	steht und von denen jede ihr Scherflein zu dem heutigen Stande beigetragen					
	hat.					
						
	Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel	nein				kein Bruch, nur auffällige Ausdrucksweise
	herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen					
	bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen,					
	die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten					
	zurückreichen.					
						
	Dies ist jedoch ein Miß-	x	durch die Schranken gefesselt	des Herkommens	B	Die Herkunft fesselt hier durch Schranken in alle Richtungen, irreguläre Sprachverknüpfung, mithin Bruch, nicht austauschbar, pointierte Stelle
	verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin					
	durch die Schranken des Herkommens gefesselt ist.«					
						
	Aber die Gestalten und Bilder, welche	x	in seine Seele gefallen	die Gestalten und Bilder	A	leichter Bruch durch irreguläre Verknüpfung und Verweisung auf Räumlichkeit, pointierte Stelle, unterstützt durch bildreiche Sprache
	einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten,					
	oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er					
	fröhlich ihrem leisen Zuge.					
						
	Die	nein				"""gewissermaßen"" deutet eine Art Vergleich an, daher kein Bruch etc."
	Sollvorschrift bildet dann gewissermaßen die Hülle oder Schale, die sich un-					
	verändert erhält, während der Kern grundlegende Veränderungen erfahren					
	hat.					
						
	Überall machen sich starke Bestrebungen geltend, die überkommenen Sitten	x	nagende	Vernunft	B	Bruch und Anreicherung der Semantik, nicht ersetzbar, sprachlich irregulär verknüpft
	und Gebräuche gegenüber der nagenden Vernunft aufrecht zu erhalten.					
						
	Oft	x	Vergewaltigung	durch die Schatten der Vergangenheit	B	Bruch, neue Semantik, irreguläre Verknüpfung, unersetzlich, unterstützt durch bildreiche Sprache und Floskeln
	genug ist derjenige, der sich in der Jugend einst knirschend gegen die Macht					
	des Hergebrachten aufbäumte, gar nicht genug über diese Vergewaltigung					
	durch die Schatten der Vergangenheit klagen konnte, mit gereifterer Lebens-					
	anschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt					
	und ihn in ihre Geleise zwang.					
						
	Wie aber wäre dies möglich, da wir bis zur letzten Zelle	nein				Floskel, kein Bruch oder dergleichen
	unseres körperlich-geistigen Baues geschichtliche Wesen sind?					
						
	Würde die Vergangenheit sich nicht wie ein Schwergewicht an uns hängen	nein				ein Vergleich und eine Floskel machen die Stelle aber neben ihrem Bildreichtum auffällig (Spielball vielleicht noch eher Metapher als Floskel?)
	und als Ballast unserem sozialen Leben einen ruhigen Gang verleihen, so					
	würde dieses von Extrem zu Extrem schwanken und jedes Staatswesen wäre					
	ein Spielball in der Hand waghalsiger Experimentatoren.					
						
	Die Vorschriften der Sitte (von denen die Vorschriften der Etiquette,	nein				kein bruch, halbwegs verlustfrei auszutauschen
	des gesellschaftlichen Anstandes als eine Unterabteilung aufzufassen und da-					
	durch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise,					
	die sich durch Beruf, Besitz, Stand oder Bildung verwandt fühlen, beschränkt					
	ist) unterliegen einer solchen durchgreifenden Revision durch die Vernunft					
	nicht, da sie sich lediglich durch mündliche Überlieferung fortpflanzen.					
						
	Wer plötz-	nein				geistiges Getränk war eine bekannte Ausdrucksweise für Alkohol
	lich mit der Forderung aufträte, es dürfe kein Tropfen eines geistigen Ge-					
	tränks mehr getrunken werden, weil der Alkoholgenuß schädlich sei, und die					
	augenblickliche Durchführung dieser Forderung erstrebte, wäre ein kompleter					
	Narr.					
						
	»Wir können den Lauf der Zeit nicht da-	x	kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln könnte	ein Zukunftsgesetz	B	Bruch, irreguläre Verknüpfung zweier Semantiken, nicht auszutauschen
	durch beschleunigen, daß wir unsere Uhren vorstellen: ein Zukunftsgesetz,					
	und wenn es die genialste Lösung der sozialen Fragen enthielte, es fände					
	kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln					
	könnte«, sagt Endemann1).					
						
	Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem	x	der Geburtshelfer des Gesellschaftslebens, das mit neuen sozialen Ershceinungen schwanger geht	der Gesetzgeber	B	bewusst als Metapher zitiert, Bruch durch die Anwendung der Schwangerschaft auf Politik, dadurch neue Semantik, pointiert und unersetzlich
	Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit					
	neuen sozialen Erscheinungen schwanger geht.					
						
	Die Vernunft einzelner Menschen kann vorher	x	Triebwerk	des sozialen Lebens	A	nah an der Floskel, Bruch, irreguläre Verknüpfung zweier Semantiken, nicht auszutauschen
	nicht genau ermessen, wie jene Änderung, die in das Triebwerk des sozialen					
	Lebens eingreift und bis in die entferntesten Erscheinungen desselben ihren					
	Einfluß geltend macht, wirken wird.					
						
	Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins	nein				Vergleich, bzw. Bild, keinerlei Bruch oder dergleichen
	dunkle.					
						
	Der beste Gesetzgeber ist deshalb derjenige, der sein Ziel stufen-	nein				vielleicht sogar eine bewusste Anspielung auf Augustinus, der den Geist der Schrift gegenüber den toten Buchstaben hervorhebt, was sich später als übliche Redeweise etablierte und auf andere Bereiche übertragen wurde, also Floskel
	mäßig durch möglichst geringe Abänderungen der jeweilig geltenden recht-					
	lichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor					
	gefährlichen Experimenten bewahrt, immer in der Lage ist, den theoretisch					
	beabsichtigten Erfolg eines Gesetzes in der Praxis nachzuprüfen und anderer-					
	seits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein					
	des Volkes Anknüpfungspunkte finden und nicht tote Buchstaben bleiben.					
						
	Denn das Leben, sagt Endemann3), muß erst »die Rechtsgedanken verar-	x	als Keime	die Rechtsgedanken, die in die Paragraphen eingeschlossen sind	B	Bruch, sprachlich irreguläre Verknüpfung zweier Semantiken, nicht austauschbar, unterstützt durch das Bild der lebendigen Buchstaben, was das vorige Bild aufnimmt
	beiten, die als Keime in die Paragraphen eingeschlossen sind, damit die					
	Gesetzesbuchstaben lebendig werden.«					
						
	Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie	x	unbewaffnete	Auge	A	leichter Bruch, Anreicherung der Semantik, irreguläre Verknüpfung
	das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe					
						
S. 120-149						
	Wenn also einzelne Soziologen	x	Gedeck an dem großen Gastmahl	der Natur	B	zitierte Metapher, pointierte Stelle unterstützt durch bildhaften Vergleich, Anreicherung der Semantik, nicht austauschbar
	in der hohen Kindersterblichkeit in Deutschland befriedigt das Walten der					
	natürlichen Auslese erblicken, wenn ein Autor (Otto Zacharias) in deut-					
	lichem Anklange an die 1. Auflage von Robert Malthus’ Hauptwerk den					
	Satz aufstellt, »daß die enorme Kindersterblichkeit der großen Städte die					
	Pforte sei, durch welche alle diejenigen jungen Leben, für welche kein Ge-					
	deck an dem großen Gastmahl der Natur aufgelegt ist, sich wieder entfernen					
	müssen«, so ist das eine völlige Verkennung der Tatsachen.					
						
	Unerkannt sitzt die geschlechtliche Zuchtwahl aber auch am Webstuhl	x	Webstuhl	der Geschichte	B	Bruch, neuer semantischer Kontext, unersetzbar, pointiert, irregulär verknüpft (heuzutage schon so gängige Metapher, dass es fast eine Floskel ist)
	der Geschichte.					
						
	Ob nicht auch hier die individuelle Geschlechtsliebe	x	der Kompaß	die individuelle Geschlechtsliebe	B	Bruch, verknüpft irregulär andere Semantik, unersetzlich
	der Kompaß ist, welcher die zu einander, d. h. zur Erzeugung normal					
	gebildeter Kinder passenden Personen zusammenführt und die nicht zusammen-					
	passenden von einander fernhält?					
						
	Freilich scheint uns auch hier wie zur Erreichung so vieler anderer	x	tief ins Herz des Volkes eingegrabenes	Staatsideal	C	Metapher mit Bild, Bruch, irreguläre Verknüpfung, verweist auf andere Semantik (mit dem Bild insgesamt drei!) dadurch nicht ersetzbar und überaus pointiert
	wünschenswerter Ziele ein hohes und tief ins Herz des Volkes einge-					
	grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein-					
	zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration					
	Beschränkungen auferlegt.					
						
	Nur	x	gepflanzt	Herz des Volkes	B	das selbe Bild wie zuvor, andere Verknüpfung, neue Semantik, Bruch, weniger pointiert, aber auch auffälig
	auf diese Weise wird ins Herz des Volkes selbst ein Motiv gepflanzt, das					
	gewaltig wirkend den einzelnen im Banne hält und ihm die Entsagung					
	dort leicht macht, wo sie durch kleinliche Zwangsmaßregeln überhaupt nie					
	zu erreichen sein würde.					
						
	Die Zeitungen	x	das Vergrößerungsglas	ihres Parteiinteresses	B	Bruch, nicht ersetzbar, neue Semantik, irreguläre Verknüpfung
	sehen alle Dinge durch das Vergrößerungsglas ihres Parteiinteresses und					
	des Bestrebens, dem Leser für ihre Mitteilungen ein möglichst großes					
	Interesse einzuflößen.					
						
	Die ohnehin schon sehr dürftige wirtschaftliche Existenz des Arbeiters	nein				Floskel, gängige Redensart
	hing also fortwährend an einem dünnen Faden, da außer jenen Krisen auch					
	noch die im Beginn der kapitalistischen Ära sehr häufige Erfindung und					
	und Einführung arbeitsparender Maschinen den Arbeiter ständig mit Ent-					
	lassung bedrohte.					
						
	Als Schüler der Hegelschen Philosophie hatten	x	durchtränkten	vom Rationalismus der Aufklärungsperiode	B	Bruch, nicht ersetzbar, neue Semantik, irreguläre Verknüpfung
	sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren					
	Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten					
	sozialistischen Vorgänger.					
						
	»Eine Gesellschaftsformation	x	im Schoß selbst ausgebrütet worden	die materiellen Existenzbedingungen	B	zitierte Metapher, Bruch, nicht ersetzbar, neue Semantik, pointiert, irreguläre Verknüpfung
	geht nie unter«, sagt Marx1), »bevor alle Produktivkräfte entwickelt sind,					
	für die sie weit genug ist, und neue höhere Produktionsverhältnisse treten					
	nie an die Stelle, bevor die materiellen Existenzbedingungen derselben im					
	Schoß der alten Gesellschaft selbst ausgebrütet worden sind.«					
						
	Und da diese sozialen	x	saugt	seine Erfahrungen	A	"Bruch, nicht ersetzbar, neue Semantik, irreguläre Verknüpfung (zum dritten Mal taucht hier das ""saugen"" mit Abstrakta auf, doch Floskel oder Redensart?)"
	Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem					
	es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle					
	Geistesleben von den Produktionsverhältnissen bestimmt.					
						
	Man kann mit dem Marx’schen Gedankengange eine ganze Strecke	nein				üblicher Jargon in argumentativen Texten
	weit mitgehen.					
						
	Es ist richtig, daß die Wirtschaftsweise eines Volkes seinem	nein				Floskel, problemlos durch prägen oder dergleichen ersetzbar
	ganzen sozialen Leben ihren Stempel aufdrückt, aber einerseits ist diese Er-					
	kenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer					
	Faktoren, die im gesellschaftlichen Leben mitwirken, überspannt, zum anderen					
	gibt die methodische Durchführung jener Erkenntnis zu Bedenken Anlaß.					
						
						
S. 150-175	Zwar besteht	nein				Floskel, keine Spannung oder Bruch
	heut innerhalb jeder Schicht ein hoher Grad von Beweglichkeit, und viel					
	Beweglichkeit auch zwischen den Schichten, aber die gesellschaftlichen Schranken					
	werden noch aufrecht erhalten.					
						
	Die Menschheit macht mit der Realisierung der sozialistischen Forderung	nein				Grenzfall? sehr auffällige Stelle mit zwei Floskeln? Bildern? schwierig einzuordnen, was wäre Fokus und Rahmen?
	noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das					
	Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon					
	selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.					
						
	Sobald aber die Forderung	x	ihres mystischen Schimmers entkleidet	die Forderung der Vergesellschaftung der Produktionsmittel	B	Bruch, nicht ersetzbar, neue Semantik, irreguläre Verknüpfung
	der Vergesellschaftung der Produktionsmittel ihres mystischen Schimmers					
	entkleidet und als ein rechtlicher Reformvorschlag wie andere Reformvorschläge					
	angesehen werden wird, wird sie von sozialdemokratischer Seite selbst auch					
	unbefangener und nüchterner betrachtet werden.					
