Abschnitt	Stelle	P	K	A	B
	tiven Entwicklung allerdings nicht ganz so langsam wie bergauf.				
					
	So dilettantenhafte Vorschläge für eine positive menschliche Zuchtwahl,	x	nein	nein	nein
	die alle Schwierigkeiten durch bloßes Ignorieren wegzaubern, sind nur				
	geeignet, den Widerstand seitens der heute herrschenden Anschauungen zu				
	vergrößern, der überwunden werden muß, ehe jene Verbesserungen der mensch-				
	lichen Zuchtwahl verwirklicht werden können, welche im Ernst allein in				
	Betracht kommen.				
					
	So groß, wie manche himmelstürmerische Geister anzunehmen geneigt	nein	nein	nein	nein
	sind, die nur auf das Ziel ihrer Ideale und nicht auf den Weg und seine				
	Hindernisse sehen, ist die mögliche Geschwindigkeit des Fortschreitens auch				
	auf dem Gebiet der Traditionswerte nicht.				
					
	Die schönste Theorie ist fehlerhaft, wenn sie nicht eine tatsäch-	nein	x	x	x
	lich gangbare Brücke zur Verwirklichung aufweist oder herstellt.				
					
	Die öffentliche Meinung ist also zum weitaus größten Teil in festen	nein	nein	nein	nein
	Händen, beinahe so wie die politische und wirtschaftliche Macht.				
					
	Die Aristokratie aber, welche die Klinke	x	nein	x	nein
	der Gesetzgebung in der Hand hatte, benützte sie, um Gesetze zu erlassen,				
	die in schneidendem Widerspruch zu den Interessen der Mehrheit standen				
	und nur ihren Sonderinteressen dienten.				
					
	Ebenso ließen sich in dem industriereichen Belgien die herrschenden Bour-	nein	nein	nein	nein
	goisparteien, nämlich die sogenannten Liberalen und die sogenannte katholische				
	Partei, die abwechselnd am Ruder waren, erst vor ca. einem Vierteljahrhundert,				
	nachdem gefährliche revolutionäre Bestrebungen beinahe die Oberhand erlangt				
	hatten, dazu herbei, das formelle Verfassungsrecht einigermaßen den tat-				
	sächlichen Verhältnissen anzupassen, und von da erst datieren alle die wirt-				
	schaftlichen Reformen, die neuerdings auch in Belgien eingetreten sind und				
	die vorher vergeblich verlangt worden waren3).				
					
	Die dritte Klasse, der Kern eines jeden Volkes, stellt die Trägheit der	nein	nein	nein	nein
	Materie dar.				
					
	Napoleon I. war 27 Jahre alt, als er 1796 im Feldzug gegen Italien sein	nein	nein	nein	nein
	Feldherrngenie im strahlendsten Lichte zeigte und der Kriegskunst neue				
	Bahnen wies.				
					
	Er hatte eine allzu	x	nein	nein	nein
	mangelhafte Kenntnis des Terrains, aus dem er operierte, und anstatt seine				
	Wege diesem anzupassen, mutete er den tatsächlichen Verhältnissen zu, sich				
	seinen Plänen anzupassen.				
					
S. 281-310					
	Was den ersten Satz anlangt, so mögen die Fäden, welche die Ver-	nein	x	x	x
	gangenheit mit der Gegenwart verknüpfen, unlöslich sein, jedenfalls aber				
	"können sie glücklicherweise nötigenfalls durchschnitten werden; sonst ""erben"				
	"sich Gesetz' und Rechte wie eine ewige Krankheit fort."""				
					
	Auch der Gesetzgeber, der neue	nein	nein	nein	nein
	Bahnen eröffnen will, muß originell, d. h. mit weisem Vorbedacht				
	"unhistorisch sein."""				
					
	Neue	nein	nein	nein	nein
	Interessen untergraben das alte Rechtsbewußtsein oder Rechts-				
	gefühl, und wenn die neuen Interessen das Übergewicht erlangt				
	haben, so wiegt auch ihr Rechtsgefühl schwerer als das der alten,				
	und überwindet dessen Widerstand.				
					
	[…] und wie es darum zu jener Zeit, als die Anatomie und	x	nein	nein	nein
	Pathologie des menschlichen Körpers noch auf tiefer Stufe standen, mit				
	Recht im allgemeinen für unheilvoll und unstatthaft galt, solche operative				
	Eingriffe zu machen, die eine gewaltige Störung in dem lebendigen Maschinen-				
	werk hervorrufen mußten […]				
					
	Er [der Grundsatz] ist auf geschichtlichem Boden erwachsen und	x	nein	nein	nein
	verlangt also, um auf die Gegenwart und Zukunft anwendbar zu sein, die				
	zum Teil sehr schwierige, zum Teil geradezu unmögliche Abwägung der ver-				
	änderten Verhältnisse.				
					
	"""Der politische Körper verwendet in beiden Fällen seine meiste"	x	x	nein	x
	"Kraft auf die Zunahme von Zähnen und Krallen."""				
					
	In Wirklichkeit sind die		nein	nein	x
	Argumente, die dieser einst so tiefgründige Autor gegen die Wehrsteuer vorbringt, objektiv	nein			
	so spinnwebartig schwach und logisch so hinfällig, daß sie beinahe mehr für das Problem der				
	physiopsychologischen Individualentwicklung als für die Frage der Wehrsteuer bemerkenswert				
	sind.				
					
	Glücklicherweise hängt	nein	nein	nein	x
	jedoch das sittliche Verhalten im großen und ganzen — besondere Fälle sind				
	freilich auszunehmen — viel weniger von der logischen Begründung unserer				
	sittlichen Anschauungen ab, mag diese Begründung eine religiöse oder eine				
	philosophische sein, als vielmehr von Gewohnheit, Beispiel und den im				
	Wirkungskreise, besonders unter den Standesgenossen, herrschenden Ehr-				
	begriffen, die sich durch die konservative Macht der Tradition auch dann				
	noch aufrecht erhalten lassen — allerdings nicht ohne allmähliches Ab-				
	bröckeln — wenn die sittlichen Grundanschauungen eines Teils, ja selbst des				
	größeren Teils, der Standesgenossen ihnen keine weitere Stütze zu gewähren				
	vermöchten.				
					
	"""Solange das Menschengeschlecht seinen Zerstörern größere Bewun-"	nein	nein	nein	nein
	derung zollen wird als seinen Wohltätern, muß auch der Durst				
	nach Kriegsruhm stets den Fehler der erhabensten Charaktere				
	"bilden"","				
					
	Nur aus ihrer [der sozialen Ideen und Reformen] Ver-	x	nein	x	x
	mählung mit dem sozialen Sinn einer Gesellschaft können lebensfähige soziale				
	Neugestaltungen entstehen.				
					
					
311-340					
	"""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das"	x	x	nein	nein
	wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmo-				
	nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis				
	wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses				
	Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es				
	sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem				
	"Glauben an das Ewige und Gott."""				
					
	"Und S. 11: ""Das graue Elend als Massenerscheinung ist ver-"	x	nein	nein	nein
	schwunden . . . Von wirklicher Not ist heute weniger zu spüren als vor 50 oder 100				
	"Jahren."" "				
					
	Übrigens haben wir bereits im 9. Kapitel (S. 235-240) gesehen, daß einer-	x	nein	x	nein
	seits die Rechenmanöver, die sich auf das Glück einer Gesellschaft beziehen,				
	mit ebenso unüberwindlichen Schwierigkeiten zu kämpfen haben wie der Ver-				
	such, einen Regenbogen zu besteigen, und daß andererseits von dem Aus-				
	sichtspunkt, den die Descendenztheorie gewährt, wahrnehmbar ist, daß Glücks-				
	empfindungen irgendwelcher Gruppe oder Summe von Personen nicht das				
	Ziel der inneren Politik sein können, sondern ausschließlich die Anpassung				
	an die Bedingungen, von denen für das Gemeinwesen der Sieg				
	im Daseinskampf abhängt.				
					
	Denn wir sind den Naturgesetzen untertan, und	nein	nein	nein	nein
	die fragen nicht nach unseren Wahnbegriffen.				
					
	Wer dem Volk solche Ratschläge erteilt, der rät ihm zu einem Schmerz-	nein	nein	nein	nein
	losen Selbstmord, und wer ihm die Mittel dazu in die Hand gibt, ist ihm				
	zum Selbstmord behilflich und macht sich objektiv — bei aller philanthro-				
	pischen Gesinnung — des größten Verbrechens schuldig. 				
					
	Der 'Präventivverkehr' zur Volks-	nein	nein	nein	x
	sitte erhoben, würde die Quelle der nationalen Lebenskraft zu ver-				
	"schütten drohen . . . . """				
					
	Es ist klar, daß der Staat an einer möglichst starken Volksver-	nein	nein	nein	nein
	mehrung, soweit dadurch nicht die Lebenshaltung unter ein ungedeihliches				
	Maß herabgedrückt wird, ein hohes Interesse hat, nicht nur in mili-				
	tärischer, sondern auch in wirtschaftlicher Hinsicht. 				
					
	Zur Zeit sind bei uns die Unterschiede in der Lebens-	nein	nein	nein	x
	haltung der verschiedenen Volksklassen noch im Wachsen begriffen, und da				
	diese Besitzklassen nicht durch unübersteigliche Klüfte voneinander getrennt				
	sind, so ist bei jeder — umsomehr, je höher sie schon steht und				
	je ehrgeiziger sie infolgedessen ist — das Bestreben darauf ge-				
	richtet, die nächst höhere Lebenshaltung zu erreichen und zwar				
	auf Kosten der Fortpflanzung, wenn es nicht anders sein kann.				
					
	Sie kann nicht zu weit gehen, denn die nötigen Schranken stellen	nein	nein	nein	nein
	sich von selbst ein.				
					
	Jedoch niemand, der mit Darwins Theorie im allgemeinen ein-	nein	nein	nein	nein
	verstanden ist, wird bezweifeln, daß nur die beständige Auslese, die unter				
	den höheren Lebensformen in der Natur sich stets vollzieht, sie zum Fort-				
	schreiten treibt und daß sie ohne diese Auslese rückwärts gehen würden.				
					
341-381					
	Wenn trotzdem die Völker, bei denen auch für die leitenden Personen nur	nein	nein	nein	nein
	die Monogamie rechtlich giltig war; im allgemeinen zu größerer Blüte				
	gelangten als jene, so ist das vielleicht auch durch die Tatsache zu erklären,				
	daß die Polygynie bei den Machthabern zum Übermaß neigt und ihnen —				
	und durch sie auch ihren Staaten — dann leicht zum Verderben gereicht.				
					
	"""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburten-"	nein	nein	nein	nein
	ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem-				
	lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit				
	dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu				
	kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Ge-				
	burtenziffer wenig günstig sind . . . . 				
					
	Im Mittelalter suchte man verheerende Volkskrankheiten durch Gebete,	nein	nein	nein	nein
	Bußübungen und Messen zu bekämpfen, und nur sehr langsam brach sich				
	die Auffassung Bahn, daß die Fürsorge für die Gesundheit der Völker eine				
	öffentliche Angelegenheit sei. 				
					
	Das eine ist eine wirtschaft-	x	x		nein
	liche, das andere eine biologische Unmöglichkeit. Der einzige Weg, der zu			x	
	nennenswerten Erfolgen führen könnte, wird nicht beliebt, da er noch nie				
	begangen und darum, nur darum, reich an dornigen Schwierigkeiten ist:				
					
	Gelegentlich werfen kleine Zeitungsnotizen kurze Schlaglichter auf dieses traurige	nein	nein	x	nein
	soziale Kapitel. 				
					
	Da nun			nein	nein
	besonders der studierenden Jugend zu einem sehr großen, wahrscheinlich zum größeren Teil,	nein	nein		
	der kirchlichreligiöse Glaube offenbar nicht erhalten werden kann, und da auch die rein				
	moralische Begründung des Verbotes, sich schon vor der Ehe geschlechtlich zu betätigen,				
	unter der Voraussetzung, daß dadurch niemand geschädigt wird, auf allzuschwachen Füßen				
	steht, so bleibt nur übrig, der mannbar werdenden Jugend die Gefahr mit dem schicklichen				
	Ernst offen darzulegen. Diese Gefahr dürfte dadurch viel von ihrer Stärke verlieren,				
					
	Zwar wird in keiner Versammlung seitens der Vortragenden versäumt, darauf	nein	nein	nein	nein
	hinzuweisen, wie überaus häufig diese Krankheiten als stille Morgengabe				
	in die Ehe gebracht werden, und beredt pflegt all das Elend geschildert zu				
	werden, das daraus entspringt. 				
					
	Meine unverhohlene Miß-	nein	nein	nein	nein
	billigung, die mich schließlich veranlaßte, ihm die Tür zu weisen, hat ihn				
	von der Ausführung seines Vorsatzes nicht abgehalten. 				
					
	So treten sie ungeheilt in die Ehe, wobei sich mancher wohl an	nein	nein	nein	nein
	die abenteuerliche Hoffnung klammert, auf die eine oder andere Art die				
	Ansteckung seiner Frau vermeiden zu können, eine Hoffnung, die aber regel-				
	mäßig zunichte wird.				
					
	Alle anderen bedürfen in solchem Falle einer äußeren	nein	nein	nein	nein
	Instanz, die sich dem unheildrohenden Gang der Dinge hemmend				
	in den Weg stellt. 				
					
	Will also die neue Gesellschaft die Kenntnis von der großen Ver-	nein	nein	nein	nein
	breitung der Geschlechtskrankheiten popularisieren, so wird sie die Eltern				
	sich verlobender und heiratender Mädchen nicht der durch Zerstörung ihrer				
	Unkenntnis entfachten Unruhe hilflos überlassen dürfen.				
					
	Es wird erst einer Veredlung unseres etwas verkrüppelten Patriotismus,	nein	x	nein	nein
	d. h. der Liebe zum angestammten Volk, bedürfen, ehe das öffentliche Ge-				
	wissen auch nach dieser Seite hin empfindlicher werden wird. 				
					
	Bis heute kann man allerdings das dickleibigste	nein	nein	nein	nein
	hygienische Kompendium oder Sammelwerk zur Hand nehmen, ohne darin				
	auch nur eine Andeutung von dem Bewußtsein entdecken zu können, daß				
	mindestens das Studium der menschlichen Zuchtwahlverhältnisse zu den Auf-				
	gaben einer Wissenschaft gehört, die sich mit der Vorbeugung der Krank-				
	heiten zu befassen hat.				
					
	Schwache sollte garnicht erst in die Gesellschaft kommen. Nicht ihre	nein	nein	x	nein
	"Besserung, sondern die Verhütung ihrer Existenz sollte der Kriegsruf sein."""				
					
	Doch wenn auch nur wenige Menschen die für manche Fortschritte	x	x	x	x
	wünschenswerte Unabhängigkeit des Urteils von Gefühlen besitzen, so ist es				
	doch nicht schwer, der Jugend, die noch keine anderen Anschauungen hat,				
	solche neue beizubringen, die dann Wurzeln in den Gefühlsuntergrund treiben				
	und sich da befestigen. Sie würde bei geeigneter Einwirkung Stammbäume				
	und Erbwerte bald schätzen lernen.				
					
	Betreffs der sittlichen Erziehung der Jugend ist darauf hinzuweisen,	nein	nein	nein	x
	daß insbesondere das Zentrum und die Partei der Konservativen großes				
	Gewicht auf die religiöse Färbung der Erziehung legen. 				
					
	Statt vorwiegend auf die Selbstsucht zu appellieren und	nein	nein	x	nein
	diese zu nähren, sollten die einflußreichen Sozialdemokraten ihre Ziele aus-				
	schließlich durch solche Argumente begründen, mit denen zu beweisen wäre,				
	daß durch die Verwirklichung ihrer Ziele das Gesamtinteresse gefördert				
	würde, und dies müßte auch für sie selbst unablässig den Prüfstein ihrer				
	breiteten und starken Gemeinsinns als Grundlage für die großen				
	Reformen, die sie erstrebt, wenn nicht diese, wie H. Spencer dargetan hat,				
	ganz andere Wirkungen nach sich ziehen sollen, als gedacht wird. 				
					
	Aber nicht nur hinsichtlich des Weges gehen die Anschauungen aus-	nein	nein	nein	nein
	einander, sondern noch mehr hinsichtlich der letzten Ideale, so sehr, daß es				
	zur Taktik unserer Sozialdemokratie geworden ist, dieses ungeklärte Terrain				
	soviel wie irgend möglich zu meiden. Das aber dürfte bei den Einsichtigeren				
	unter ihnen feststehen, daß Gleichheit des Einkommens, des Ansehens und				
	der Macht undiskutierbare Verzerrungen des Gleichheitsideales sind, welches				
	nur die Beseitigung antisozialer Begünstigungen verlangt, d. h.				
	solcher, die weder in angeborenen Anlagen, noch in persönlich er-				
	worbenen Vorteilen (erworben in einem, jedem unter denselben äußeren				
	Vorbedingungen offenstehenden Wettbewerb) bestehen.				
					
	Wenn	nein	nein		nein
	es für den Einzelnen kein Ziel des Aufstrebens, keine erreichbare höhere Stellung mehr			nein	
	gibt, so erlahmt alle Energie, versagt aller Wettbewerb; volle soziale Gleichheit wäre der				
	Tod der Gesellschaft. Wenn der Mensch keine Hoffnung mehr hat, seine Lage zu verbessern,				
	"so verdrängt Mutlosigkeit und Indolenz alles Streben."""				
					
	Auch	nein	nein	nein	nein
	unter der (praktisch unannehmbaren) Voraussetzung allgemein gleichen Ein-				
	kommens und gleicher Rechte würden z. B. immer noch die geschlechtliche				
	Liebe und das Bedürfnis nach Anerkennung bei den Lebensgenossen als				
	mächtige Sporen für die Betätigung der gegebenen Kräfte übrig bleiben.				
					
	"""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend,"	nein	nein	nein	nein
	"daß Demokratisierung nicht notwendig Republikanisierung sei, ""die"				
	"Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"","				
	Und Kidd 2) sagt:				
	"""Die geschichtliche Tatsache unserer Zeit, die alle anderen in"				
	den Schatten stellt, ist das Kommen der Demokratie . . . . Die				
	da glauben, durch sie werde statt Ordnung ein Chaos kommen,				
	erfassen die Natur seiner Stärke nicht . . . .				
	und Befürchtungen betreffs der Zukunft der auftretenden Demokratie,				
	die sich auf Vergleiche mit der Vergangenheit gründen, sind un-				
	"zulässig und wertlos . . . ."""				
					
	Ferner wurde ausgeführt, daß der Rückgang	nein	nein	nein	nein
	der generativen Werte die Aufwärtsbewegung der Kultur zwar nicht sofort				
	aufzuhalten vermag, mit der Zeit aber notwendig auch zu deren Stillstand				
	und Sinken führen muß, da die Kulturhöhe innerhalb gewisser Grenzen von				
	der Höhe der generativen Entwicklung abhängig ist. 				
					
	Der Staatsmann, dessen Sinn nicht bloß auf Augenblickserfolge ge-	x	nein	nein	nein
	richtet, und dessen Gesichtskreis durch das Licht der Descendenztheorie erhellt				
	und erweitert wäre, würde erkennen, daß die Zukunft seines Volkes von der				
	guten Verwaltung seines generativen Besitzes abhängt, und daß jede Politik,				
	möge ihr Ergebnis zunächst noch so glänzend sein, eine schlechte Politik ist,				
	wenn sie, wie z. B. die Napoleons I. sowie aller nach Kriegsruhm oder				
	entbehrlicher Kriegsbeute strebender Staatslenker, mit einer Mißwirtschaft auf				
	dem Gebiet der generativen Werte verbunden ist. 				
					
	Eine viel spätere Zeit wird dann vielleicht auf Grund der neuen An-	x	x	nein	x
	schauungen und Wertungen eine neue ethische Theorie anerkennen, deren				
	höchstes Gebot sein wird, die von den Vorfahren geliehenen Erb- und				
	Traditionswerte den Nachfahren mit Zinsen abzufragen.				
