sentence1	sentence2	Which one is more metaphoric?
Zeigt sich nicht überall die Unmöglichkeit, daß der eine den anderen vollständig unter die Faust zwingt, daß die eine Seite nach ihrem Belieben der anderen die Friedensbedingungen aufzwingt?	Wissen Sie denn nicht, wie viele Männer in den Schützengräben liegen, und wissen Sie nicht, wie viele Frauen gezwungen sind, von morgens früh bis abends spät zu arbeiten?	0
Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	überall wird die Folge sein, daß sich das Volk in der traurigsten Lage befindet, daß Not und Elend die große Masse des Volkes auf das furcht- barste niederdrücken.	0
der Abwehr eines in öffentlichen Zeitungen gegen uns erhobenen Angriffs bestehen sollten.	"Meine Herren, ich komme zum Schluß und wieder- hole, daß der Staatsnotwendigkeit, unsere Finanzen auf gesunden Grundlagen zu erhalten und fortzuführen und der „silbernen Kugeln"" zu spotten, die uns von England als die letzten Sieger angedroht worden sind, nur genügt werden kann, wenn schwere Opfer gebracht werden. Aber, meine Herren, dafür hat das Volk auch ein volles Ver- ständnis."	0
In dieser schweren Zeit darf man an solchen Steuerquellen nicht vorbeigehen.	Das Wort zur Geschäftsordnung hat der Herr Ab- geordnete Dr. Liebknecht.	0
Wir würden in der Bereit- stellung der geforderten Mittel einen Tribut der Dank- barkeit gegen diejenigen erblicken, die draußen im Felde noch ganz andere Opfer bringen als das größte, welches irgendein Steuergesetz von irgendeinem Menschen verlangt hat.	Die Verbrauchssteuer ist das Mittel in der Steuerfrage, das arbeitende Volk, die armen Leute auszupumpen, sie zu benachteiligen gegenüber den Reichen.	0
So wird es doch wohl berechtigt sein, in Erwägung zu ziehen, ob man nicht vielleicht noch mehr, als es die Vorlage tut, die billige Zigarette, die der Hauptkonkurrent der billigen Zigarre ist, der Besteuerung des Zigarrengewerbes noch etwas mehr annähert.	"Wenn der „Vorwärts"", der gewiß nicht an Lungenschwäche leidet, so sanft und gedämpft spricht, so kann man doch an-nehmen, daß diese Versammlungen gegen die Steuern nicht gerade ein Erfolg waren."	0
Zeigt sich nicht überall die Unmöglichkeit, daß der eine den anderen vollständig unter die Faust zwingt, daß die eine Seite nach ihrem Belieben der anderen die Friedensbedingungen aufzwingt?	Ich habe zu dem deutschen Volke das Vertrauen, daß es die Dinge ruhiger und vernünftiger ansieht, als es von dem Abgeordneten Hoch geschehen ist.	0
Nach unserer Auffassung treffen am 1. Januar 1917 so starke Belastungen des Besitzes in den Einzelstaaten und Gemeinden, ferner durch die Kriegsgewinnsteuer und die übrigen wirtschaftlichen Ver- hältnisse zusammen, daß uns das Plus einer Erhebung auch einer einmaligen neuen Rate des Wehrbeitrags nicht angebracht zu sein scheint, nicht angebracht sowohl von dem Gesichtspunkte aus, daß wir den Besitz nicht erdrosseln, nicht übermäßig belasten wollen, nicht angebracht aber auch von dem Gesichtspunkte des Schutzes der einzelstaatlichen Finanzhoheit aus.	Der Wert eines selb- ständigen Unternehmertums in Stadt und Land, der Wert wirtschaftlich selbständig dastehender Personen, die aus eigener Verantwortung heraus die Wirtschaft führen, hat sich in diesem Kriege glänzend bewährt.	0
Sie wird dafür sorgen, daß ihr das Recht gegeben wird, das sie zu beanspruchen hat, und das sie sich jetzt mit Strömen von Blut erkaufen muß. Wenn Sie ihr das Recht nicht geben wollen, dann wird sich die Masse dieses Recht erkämpfen.	Der Herr Staatssekretär hat behauptet, die Zusage, die gemacht worden ist, daß das Volk sich frei über die Steuervor- lagen aussprechen kann, sei gehalten worden.	0
Nun stellte der Herr Abgeordnete v. Payer den Antrag in Aussicht, es möge eine einmalige Wiederholung des Wehrbeitrags beschlossen werden.	Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre. Für wünschenswert halten auch meine	0
Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	Viele Sach- verständige sind überzeugt, daß diese Steuer eine Erdrosse- lungssteuer ist, daß durch die Steller die kleinen Unter- nehmer zu grunde gerichtet werden und dann das Monopol um so leichter durchgeführt werden kann.	0
Was Groß- admiral v. Tirpitz unserem Volke gewesen ist, was er ge- schaffen hat, was er unser Volk gelehrt hat, das steht un- auslöschlich in den Ruhmesblättern der deutschen Geschichte eingetragen.	Er meinte, weil nicht alle Versammlungen überfüllt waren, weil nicht wer weiß wie viele Tausende von Leuten zusammengeströmt sind, des- halb will das arbeitende Volk nichts von einem Wider- spruch gegen die Steuern wissen.	1
"Meine Herren, ich komme zum Schluß und wieder- hole, daß der Staatsnotwendigkeit, unsere Finanzen auf gesunden Grundlagen zu erhalten und fortzuführen und der „silbernen Kugeln"" zu spotten, die uns von England als die letzten Sieger angedroht worden sind, nur genügt werden kann, wenn schwere Opfer gebracht werden. Aber, meine Herren, dafür hat das Volk auch ein volles Ver- ständnis."	Der russische Riese überall weit in sein Land zurück- gedrängt, der Weg nach dem Balkan geöffnet und gesichert, beides mit Hilfe treuer und tapferer Verbündeter, die immer wiederholten Angriffe gewaltiger Übermacht gegen unsere in Feindesland stehende Mauer im Westen stets von neuem an unserer eigenen Kraft zerschellt.	2
"Wollen Sie aber bestreiten, daß wir auch jetzt in der Lage wären, noch 500 Millionen Mark aufzubringen, ohne daß wir die reichen Leute „zu sehr"" belasten?"	Was Groß- admiral v. Tirpitz unserem Volke gewesen ist, was er ge- schaffen hat, was er unser Volk gelehrt hat, das steht un- auslöschlich in den Ruhmesblättern der deutschen Geschichte eingetragen.	2
Im Erbschaftssteuergesetz ist dieser Weg schon ein- geschlagen worden, und auf diesem Wege werden wir durch die ganze Entwicklung der Verhältnisse weitergedrängt.	Auch wir haben es erkannt, daß Großadmiral v. Tirpitz es gewesen ist, der unserem Volke neue Bahnen gewiesen hat.	2
Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	Daraus geht doch klar hervor, daß der Tabak bluten kann.	2
Für sich wollen Sie Rechte haben, wenn aber einer eine andere Ansicht hat, dann haben Sie keine Achtung vor seinen Rechten.	In dieser schweren Zeit darf man an solchen Steuerquellen nicht vorbeigehen.	0
Der finanzielle Abschluß des letzten Etatsjahrs mag in seinen Ergebnissen zweifelhaft sein.	Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre. Für wünschenswert halten auch meine	0
Auf die ungeheuer großen Verschiedenheiten des Wertes der Sendungen, die in den einzelnen Frachtbriefen be- urkundet werden, wird gar keine Rücksicht genommen, und so kann der Frachturkundenstempel gerade auch gewisse landwirtschaftliche Betriebe, jedenfalls die Hersteller von großen Massengütern mit besonders großer Schärfe treffen, mit größerer Schärfe als diejenigen Betriebe, die wert- volle Gegenstände zu versenden haben.	Wir stehen nicht nur in dem größten aller Weltkriege, wir stehen auch in einem erbitterten, konsequent und groß durchge- führten Wirtschaftskriege.	0
Bei den schweren Konkurrenz- verhältnissen und der schweren wirtschaftlichen Lage, in der sich diese Betriebe vielfach befinden, wird es ihnen auch am schwersten sein, die Belastung des Quittungs- stempels abzuwälzen, und sie werden bei der nicht so großen geschäftlichen Gewandtheit und der schwächeren Position, die sie gegenüber ihren Kunden haben, als es bei größeren Häusern der Fall ist, die Belästigung des Quittungsstempels um so schwerer empfinden, als die Gewohnheit der Ausstellung von Quittungen und das praktische Bedürfnis dazu bei ihnen nicht besteht.	Wir unsererseits werden bei allen kommenden Ver- handlungen mit der größten Entschiedenheit für die staat- liche nnd darum auch für die finanzielle Selbständigkeit der Einzelstaaten eintreten.	0
Meine Herren, Sie haben mir auch unmöglich gemacht, in die Dunkelkammer der deutschen Kriegspolitik und der Militärdiktatur hinein- zu leuchten —	Er meinte, weil nicht alle Versammlungen überfüllt waren, weil nicht wer weiß wie viele Tausende von Leuten zusammengeströmt sind, des- halb will das arbeitende Volk nichts von einem Wider- spruch gegen die Steuern wissen.	1
Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	(A)Bedeutung der Tatsache Hinweisen, daß gerade auf dem Gebiete der Besteuerung von Einkommen und Vermögen der Gesellschaften jetzt das Reich seine Kompetenzen weit ausdehnt.	0
Wer von uns hätte jemals gedacht, daß die stolze englische Flotte sich vor unseren wackeren Blaujacken verstecken und verkriechen würde?	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	1
Weil das nicht geschehen ist, weil Sie also so schwer ge- sündigt haben, meine Herren von den bürgerlichen Parteien, deshalb ist der Zustand so traurig, und deshalb ist jedes Blatt in unserer Finanzgeschichte so unbefriedigend.	Bei den schweren Konkurrenz- verhältnissen und der schweren wirtschaftlichen Lage, in der sich diese Betriebe vielfach befinden, wird es ihnen auch am schwersten sein, die Belastung des Quittungs- stempels abzuwälzen, und sie werden bei der nicht so großen geschäftlichen Gewandtheit und der schwächeren Position, die sie gegenüber ihren Kunden haben, als es bei größeren Häusern der Fall ist, die Belästigung des Quittungsstempels um so schwerer empfinden, als die Gewohnheit der Ausstellung von Quittungen und das praktische Bedürfnis dazu bei ihnen nicht besteht.	0
Die Hauptsache ist die: er ist kein Nahrungsmittel, sondern ein Genußmittel, und als Genußmittel ist er eben vor allen Dingen geeignet, steuerlich belastet zu werden.	Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	0
Der Herr Schatzsekretär wies gestern darauf hin, daß dieses hohe Haus wohl stolz sei auf die Schöpfung, die es in der Zuwachssteuer des Jahres 1913 der Steuer- geschichte einverleibt hat.	Aber sie zwingt dem Armen und dem Ärmsten ohne Rücksicht darauf, ob er in verständiger Weise seine Lebenshaltung einschränken kann, die Einschränkung der Reichstag.	0
Der Etat hat seine formelle Bedeutung darin, daß er die Unterlagen, ich möchte sagen: die Titel für die Verwaltung der Einnahmen und Ausgaben schafft; darüber hinaus geht freilich die Bedeutung der Frage, wie man Einnahmen und Ausgaben zu balancieren gedenkt.	Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	0
Die Einkommensteuer dagegen belastet den Steuer- zahler im Verhältnis zu seinem Einkommen; sie belastet ihn um so mehr, je reicher er ist.	Ferner sind wir darauf hingewiesen worden, daß die Einkommensteuer unmöglich überspannt werden dürfe.	2
Im Erbschaftssteuergesetz ist dieser Weg schon ein- geschlagen worden, und auf diesem Wege werden wir durch die ganze Entwicklung der Verhältnisse weitergedrängt.	Auch wir würden es für erwünscht halten, wenn es möglich wäre, die eigentlichen Kriegsgewinne einer besonderen Steuer zu Unterwerfen.	0
Wenn das Haus der Ansicht ist, daß das gegen die Verabredung verstößt, so will ich mich dem fügen und nur noch einmal erklären, daß die Absicht meiner Ausführungen nichts weiter war, als jenen Angriff als unberechtigt zurückzuweisen.	Ferner sind wir darauf hingewiesen worden, daß die Einkommensteuer unmöglich überspannt werden dürfe.	2
Eine Frage des Abgeordneten Keil hat der Herr Staatssekretär wohlweislich nicht beantwortet, und ebenso- wenig alle die anderen Herren, auch Herr Graf Westarp nicht, der sich so gewaltig darüber entrüstete, daß die Sozialdemokraten den Einzelstaaten ihre Finanzhoheit und damit ihre Lebensfähigkeit und Entfaltungsmöglichkeit nehmen wollten, nämlich die Frage: glauben Sie wirklich im Ernst, daß wir nach dem Kriege ohne weitere Einkommen- steuern auskommen können?	Gar nicht genug können wir danken der Unternehmungslust, dem Unter-nehmungsgeist, der Tüchtigkeit, der Anpassungsfähigkeit der Führer unseres Wirtschaftslebens in Stadt und Land, und da, meine ich, sollten und müßten wir die Lehre daraus entnehmen, daß es der größte Fehler für die Zukunft sein würde, wenn wir das Unternehmertum, wenn wir die Schar kraftvoller, wirtschaftlicher Persönlichkeiten durch Steuermaßnahmen erdrosseln wollten.	0
Daraus geht doch klar hervor, daß der Tabak bluten kann.	Ich glaube, wir werden uns bei der Betrachtung dieser Dinge wieder daran ge- wöhnen müssen, auch den sieben- bis neunstelligen Zahlen einige Bedeutung beizulegen.	1
Der Herr Staatssekretär und auch der Herr Abge- ordnete Stresemann haben mit einem gewissen Stolz darauf hingewiesen, daß die maßgebenden Kreise von Handel und Gewerbe sich für die vorgeschlagene Regelung Reichstag.	Dabei müssen Reich und Einzelstaaten völlige Bewegungs-freiheit behalten, um durch Erhöhungen und Herabsetzungen, durch Erweiterungen und Einschränkungen die Einnahmen so zu regeln, wie es ihre» jeweiligen Verhältnissen ent-spricht.	0
Das Einkommen ist, da wir die Naturalwirtschaft im wesentlichen verlassen haben, sehr viel leichter zu erfassen, weil es, von einzelnen Ausnahmen abgesehen, in barem Gelde besteht, dessen Wert feststeht.	Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	0
Der Wert eines selb- ständigen Unternehmertums in Stadt und Land, der Wert wirtschaftlich selbständig dastehender Personen, die aus eigener Verantwortung heraus die Wirtschaft führen, hat sich in diesem Kriege glänzend bewährt.	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	
Wenn der Herr Staatssekretär die Zeit finden könnte, sich einmal des näheren über die Stellung unserer Partei zur Steuerfrage zu unterrichten, dann würde er finden, daß diese Kenntnis kein neues Licht ist, das uns da angekündet worden ist, sondern daß wir dieser Erkenntnis schon lange waren, daß wir auf Grund dieser Erkenntnis unsere Beschlüsse auf dem Parteitage gefaßt haben.	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	
Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre.	Bei den schweren Konkurrenz- verhältnissen und der schweren wirtschaftlichen Lage, in der sich diese Betriebe vielfach befinden, wird es ihnen auch am schwersten sein, die Belastung des Quittungs- stempels abzuwälzen, und sie werden bei der nicht so großen geschäftlichen Gewandtheit und der schwächeren Position, die sie gegenüber ihren Kunden haben, als es bei größeren Häusern der Fall ist, die Belästigung des Quittungsstempels um so schwerer empfinden, als die Gewohnheit der Ausstellung von Quittungen und das praktische Bedürfnis dazu bei ihnen nicht besteht.	
Meine Herren, Sie haben mir auch unmöglich gemacht, in die Dunkelkammer der deutschen Kriegspolitik und der Militärdiktatur hinein- zu leuchten —	So gehen wir an diese Kraftprobe heran mit dem festen Willen, sie zu bestehen.	
Im Erbschaftssteuergesetz ist dieser Weg schon ein- geschlagen worden, und auf diesem Wege werden wir durch die ganze Entwicklung der Verhältnisse weitergedrängt.	Das gewaltige Ringen der letzten Tage im Osten und Westen, auf das die ganze Welt mit atemloser Spannung, wir mit warmer Anteilnahme, mit heißem Sehnen und zuversichtlicher Hoffnung blicken, — alle diese Leistungen unserer Truppen sind Heldentaten, die von keinen Taten irgendwelcher Art überstrahlt werden, von denen die Ge- schichte berichtet und die Dichter singen und sagen.	
Gar nicht genug können wir danken der Unternehmungslust, dem Unter-nehmungsgeist, der Tüchtigkeit, der Anpassungsfähigkeit der Führer unseres Wirtschaftslebens in Stadt und Land, und da, meine ich, sollten und müßten wir die Lehre daraus entnehmen, daß es der größte Fehler für die Zukunft sein würde, wenn wir das Unternehmertum, wenn wir die Schar kraftvoller, wirtschaftlicher Persönlichkeiten durch Steuermaßnahmen erdrosseln wollten.	Es ist, als ob diese gewaltige Zeit, dieser Weltbrand immer neue Kräfte in unseren Truppen hervorriefe und wachsen ließe, auch in ihren Führern, denen wir unbe- schränktes Vertrauen zollen, die über alles Lob erhaben sind.	
Diese Bemerkung wies mich erneut darauf hin, wie notwendig es ist, daß die Entwicklung dieser Dinge in den Einzelstaaten und die Behandlung der Steuervorlagen im Reiche in eine gewisse Einheitlichkeit gebracht werden, und daß die Entschließungen der Einzellandtage mit unseren Entschließungen in einem organischen und auch zeitlichen Zusammenhange gefaßt werden.	Der Herr Schatzsekretär wies gestern darauf hin, daß dieses hohe Haus wohl stolz sei auf die Schöpfung, die es in der Zuwachssteuer des Jahres 1913 der Steuer- geschichte einverleibt hat.	
Hier handelt es sich denn doch um die Einhaltung des rechten Maßes, das unbedingt erforderlich ist, um unser Wirtschaftsleben nicht zu erdrosseln.	Meine Herren, Sie haben mir auch unmöglich gemacht, in die Dunkelkammer der deutschen Kriegspolitik und der Militärdiktatur hinein- zu leuchten —	
Aber, meine Herren, die Einkommensteuer hat das mit sich, daß sie, da sie den Reichsten am meisten trifft, auf die Reichsten den schärfsten Druck ausübt, während die Verbrauchssteuer umgekehrt wirkt; sie übt auf die Ärmsten den größten Einfluß; sie läßt den Reichen so gut wie ungeschoren.	Auch wir haben es erkannt, daß Großadmiral v. Tirpitz es gewesen ist, der unserem Volke neue Bahnen gewiesen hat.	
Hier handelt es sich denn doch um die Einhaltung des rechten Maßes, das unbedingt erforderlich ist, um unser Wirtschaftsleben nicht zu erdrosseln.	Es ist jetzt nicht die Zeit, deir Reichsbehörden die Ausarbeitung eingehender statistischer Darstellungen zuzumuten: ich glaube aber doch, die Hoffnung aussprechen zu dürfen, daß der Herr Schatzsekretär und seine Beamten mit ihrer bewährten Arbeitskraft uns in der Kommission noch weitere inter- essante Mitteilungen machen werden über die Ausgestaltung, (B) die die direkten Steuern in den Einzelstaaten und Ge- meinden in der letzten Zeit erfahren haben, und über das Verhältnis, in dem diese Belastung zu den Reichssteuern steht.	
Nach unserer Auffassung treffen am 1. Januar 1917 so starke Belastungen des Besitzes in den Einzelstaaten und Gemeinden, ferner durch die Kriegsgewinnsteuer und die übrigen wirtschaftlichen Ver- hältnisse zusammen, daß uns das Plus einer Erhebung auch einer einmaligen neuen Rate des Wehrbeitrags nicht angebracht zu sein scheint, nicht angebracht sowohl von dem Gesichtspunkte aus, daß wir den Besitz nicht erdrosseln, nicht übermäßig belasten wollen, nicht angebracht aber auch von dem Gesichtspunkte des Schutzes der einzelstaatlichen Finanzhoheit aus.	Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	
Man hat — und zwar mit Recht — darauf hingewiesen, daß für die Einzelstaaten und Gemeinden die Einkommensteuern die Grundlage des ganzen Steuerwesens bilden: und man hat es so dar- gestellt, als ob man, wenn das Reich neue Einkommen- steuern durchführe, damit den Einzelstaaten und den Gemeinden den Boden unter den Füßen wegzöge.	Wir haben uns vor dem Kriege im Wirtschaftsleben, besonders auch in den öffentlichen Einrichtungen, auf manchen Gebieten eine luxuriöse Ausgestaltung geleistet, die wir nach den Erlebnissen dieses Krieges und nach den Einflüssen, die er auf unser ganzes Wirtschaftsleben ausüben wird, kaum noch in Zukunft werden durchführen können, und so stehen wir auch dem Entwurf über die Postgebühren grundsätzlich keineswegs ablehnend gegenüber.	
Sie können über die neuen Steuern urteilen, wie Sie wollen: ich glaube, die große Mehrheit des Hauses und auch die große Mehrheit im deutschen Volke ist mit uns der Meinung, daß auch die in unseren Vorlagen ent- haltenen Verbrauchs- und Verkehrssteuern nicht in erster Linie eine Belastung der breiten Masten des arbeitenden Volkes darstellen, ( sehr richtig! )	Sie wird dafür sorgen, daß ihr das Recht gegeben wird, das sie zu beanspruchen hat, und das sie sich jetzt mit Strömen von Blut erkaufen muß.	
Auf die ungeheuer großen Verschiedenheiten des Wertes der Sendungen, die in den einzelnen Frachtbriefen be- urkundet werden, wird gar keine Rücksicht genommen, und so kann der Frachturkundenstempel gerade auch gewisse landwirtschaftliche Betriebe, jedenfalls die Hersteller von großen Massengütern mit besonders großer Schärfe treffen, mit größerer Schärfe als diejenigen Betriebe, die wert- volle Gegenstände zu versenden haben.	100 Millionen soll die Novelle in Preußen bringen; da- von werden 95 Prozent aufgebracht durch die Einkommen von 10 500 Mark und mehr.	
Es ist, als ob diese gewaltige Zeit, dieser Weltbrand immer neue Kräfte in unseren Truppen hervorriefe und wachsen ließe, auch in ihren Führern, denen wir unbe- schränktes Vertrauen zollen, die über alles Lob erhaben sind.	Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre.	
Man hat seinerzeit die indirekten Steuern empfohlen, weil das dumme Volk nicht merke, wie es dabei über den Löffel barbiert wird.	Daraus geht doch klar hervor, daß der Tabak bluten kann.	
Wir werden auch auf diesem Gebiete das volle Recht für das arbeitende Volk verlangen.	Gar nicht genug können wir danken der Unternehmungslust, dem Unter-nehmungsgeist, der Tüchtigkeit, der Anpassungsfähigkeit der Führer unseres Wirtschaftslebens in Stadt und Land, und da, meine ich, sollten und müßten wir die Lehre daraus entnehmen, daß es der größte Fehler für die Zukunft sein würde, wenn wir das Unternehmertum, wenn wir die Schar kraftvoller, wirtschaftlicher Persönlichkeiten durch Steuermaßnahmen erdrosseln wollten.	
Im übrigen wird die Balancierungsfrage vollständig dadurch beherrscht, daß der Bedarf der Verzinsung der Reichsschuld sich gegen den Friedenszustand nunmehr um rund 2 Milliarden Mark, gegen das Vorjahr um 1035 Millionen Mark erhöht hat.	Darauf beruht die prinzipielle Zustimmung, deren sich der Herr Schatzsekretär gestern schon mit Recht erfreut hat: die prinzipielle Zustimmung aller Parteien dazu, daß neue Einnahmequellen jetzt er- schlossen werden sollen.	
Ich weiß nicht, ob der Herr Staatssekretär auch nur im entferntesten daran denkt: das kann ich mir nicht vorstellen.	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	
Was wir fordern, ist ein planmäßiges Vorgehen von Reich, Einzelstaaten und Gemeinden.	Man hat seinerzeit die indirekten Steuern empfohlen, weil das dumme Volk nicht merke, wie es dabei über den Löffel barbiert wird.	
Aber der Name Tirpitz wird nicht verklingen, solange es eine deutsche Flotte gibt.	Daraus entnehmen wir erneuten Anlaß zu dem Entschlüsse, bei der jetzigen Steuerreform wie später mit aller Ent- schiedenheit uns dagegen zu wehren, wenn man den Einzel- staaten die staatliche Selbständigkeit dadurch zertrümmern will, daß man ihnen die Finanzhoheit und die Finanz- quellen nimmt.	
Was Groß- admiral v. Tirpitz unserem Volke gewesen ist, was er ge- schaffen hat, was er unser Volk gelehrt hat, das steht un- auslöschlich in den Ruhmesblättern der deutschen Geschichte eingetragen.	Meine Herren, Sie haben mir auch unmöglich gemacht, in die Dunkelkammer der deutschen Kriegspolitik und der Militärdiktatur hinein- zu leuchten —	
Was Groß- admiral v. Tirpitz unserem Volke gewesen ist, was er ge- schaffen hat, was er unser Volk gelehrt hat, das steht un- auslöschlich in den Ruhmesblättern der deutschen Geschichte eingetragen.	Im Osten hält unser unvergleichlicher Hindenburg die Wacht mit der starrenden Wehr, an der die russischen Massen blutig zer- schellen.	
Wer von uns hätte jemals gedacht, daß die stolze englische Flotte sich vor unseren wackeren Blaujacken verstecken und verkriechen würde?	Der Herr Schatzsekretär wies gestern darauf hin, daß dieses hohe Haus wohl stolz sei auf die Schöpfung, die es in der Zuwachssteuer des Jahres 1913 der Steuer- geschichte einverleibt hat.	
Wer von uns hätte jemals gedacht, daß die stolze englische Flotte sich vor unseren wackeren Blaujacken verstecken und verkriechen würde?	Ich würde gezwungen sein, Ihnen das Wort zur Geschäftsordnung nicht weiter zu geben, wenn Sie sich daran nicht halten.	
"„Opfer bringen"", das ist die Aufschrift, die über der Pforte zu den neuen Steuervorlagen steht."	Gegen die Verkehrssteuern machte der Herr Abge- ordnete v. Payer einen Einwand, den ich doch nicht un- widersprochen lassen kann.	
Daß wir unsere Überzeugung verleugnen sollen, daß wir uns als Heuchler hinstellen sollen, daß wir aus schwarz weiß machen sollen, daß wir etwas entschuldigen sollen, das wir nach unserer Überzeugung nicht entschuldigen können und nicht entschuldigen dürfen!	Ich weiß nicht, ob der Herr Staatssekretär auch nur im entferntesten daran denkt: das kann ich mir nicht vorstellen.	
Von besonderem Interesse war mir in diesem Zu- sammenhange eine Äußerung des Herrn Abgeordneten v. Payer, die, wenn ich sie recht verstanden habe, dahin ging, die Einzelstaaten möchten nicht glauben, daß sie, wenn sie jetzt die Hand auf die direkten Steuern legten, dadurch das Reich verhindern würden, die direkten Steuern auch seinerseits für sich in dem Maße in Anspruch zu nehmen, wie es der Herr Abgeordnete v. Payer für richtig hält.	Freiheit wollen Sie nur für die Meinung, die Ihnen gefällt, und alles andere messen Sie mit einem anderen Maß.	
