Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung
	durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Ge-					
	deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird					
	und vom Gedeihen des Staates abhängt.					
						
	Selbst wenn wir einmal annehmen, dies	nein				„Nachteile im Gefolge“ klingt zwar ungewöhnlich, ich sehe jetzt aber keinen Bruch
	sei der Fall, so hat dafür die gesetzliche Regelung auch Nachteile im Gefolge,					
	welche bei dem von uns empfohlenen Wege vermieden werden.					
						
	Gesetzliche	nein				über denselben Kamm scheren ist eine Redewendung
	Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach					
	ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger					
	innerer Beschaffenheit über denselben Kamm zu scheeren.					
						
	Sie [die Anpassung] kann auf geringfügige Änderungen der	x	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab	Sie [die Anpassung]	B	Bruch, sprachlich irregulär, pointiert, semantishe Erweiterung, Die Anpassung  wird als konkurrierender Herrscher dargestellt. Das würde man nicht erwarten und es stößt auf
	natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen					
	der Organisation antworten; aber sie versagt bei größeren Änderungen und					
	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.					
						
	In dem Moment, wo sperma und ovum im Uterus der Mutter zu einer	x	ist die Statue gegossen	In dem Moment, wo sperma und ovum (..) verschmelzen	B	Sprachlich irregulär, pointiert. Hier werden zwei verschiedene Dinge miteinander identifiziert, ohne dass die explizit als Vergleich beschrieben wird, sodass der ganze Ausdruck heraussticht
	Zelle verschmelzen, ist »die Statue gegossen,« sagt Hegar1), »und was					
	noch weiter geschieht, ist nur eine feinere Ausarbeitung und Ziselierung.					
						
	»Beim Menschen scheint das Kind gar nichts mitzubringen,	nein				Ich bin mir nicht sicher, inwiefern „im Keim vorgebildet“ nicht einfach ein jargonhafter Ausdruck ist
	sondern alles erst zu lernen; in der Tat aber bringt es alles oder doch					
	unendlich viel mehr mit als das fix und fertig aus dem Ei kriechende Tier,					
	aber es bringt alles in unreifem Zustande mit, weil des zu Entwickelnden					
	bei ihm so viel ist, daß es in den 9 Monaten des Embryolebens nur erst					
	im Keime vorgebildet sein kann.					
						
	So geht nun das Reisen der Disposi-	x	Nachmeißeln	dieser Dispositionen	B	Sprachlihc irregulär, pointiert. Eine Fortsetzung der Statuenmetapher weiter oben?
	tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen,					
	d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand					
	und erzielt dadurch ein weit reicheres und saubereres Endresultat als die					
	bloße Vererbung bei den Tieren vermag« 2).					
						
	Kommt der Mensch mit ganz	nein				Redewendung
	bestimmten Bildungsanlagen und -trieben zur Welt, so muß die Erziehung					
	sich der Schranken bewußt bleiben, welche ihr hierdurch gesetzt sind.					
						
	Man kann auf diese Weise eine	x	ganz ertöten	eine böse Anlage, z.B. die Neigung zur Grausamkeit	B	Sprachlich irregulär, pointiert. Etwas abstraktes als lebendes Wesen, das man töten kann bzw. dann eigentlich doch nie töten kann. Das irritiert stark
	böse Anlage, z. B. die Neigung zur Grausamkeit, nie eigentlich ganz er-					Frucht guter Erziehung scheint mir aber eher eine tote Metapher „eine Frucht“ sein oder „Früüchte tragen“ sind so etablierte Ausdrücke, dass sie keinen Bruch erzeugen
	töten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin,					
	aber sie wird unschädlich, weil sich als Frucht guter Erziehung im Kinde					
	jetzt bei jeder aufsteigenden Neigung zu einer grausamen Handlung durch					
	Gedankenassoziation zugleich abmahnend ein ganzer Komplex von Vorstellungen					
	erhebt, welche jenen Wunsch als schlecht, als verachtenswert, als von bösen					
	Folgen begleitet erscheinen und ihn deshalb nicht zur Tat werden lassen.					
						
	Es ist nicht immer nötig, daß dieser der	x	saugt ein	diese Vorstellungen	A	Bruch, sprachlich irregulär, pointiert. Vorstellungen werden wie Muttermilch behandelt. Das ist unerwartet und sticht ins Auge
	schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung					
	und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstel-					
	lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von					
	selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und					
	Gewöhnung gewissermaßen allein.					
						
	Solange jene Neigung nicht	nein				ich bin mir nicht sicher, ob „alles verzehrende Leidenschft“ nicht einfach eine schwülstige Floskel ist
	zur alles verzehrenden Leidenschaft geworden ist und die gleichzeitig ge-					
	weckten Vorstellungen stark genug sind, werden sie in vielen Fällen die					
	Neigung, falls sie schlecht ist, besiegen und die schlechte Tat unausgeführt					
	lassen.					
						
	Die Schulen sind aber für	x	bricht	seinen Weg gegen die Schule	A	"Sprachlich irregulär, pointiert. ABer ""sich seinen Weg brechen"" ist ein so geläufiger Ausdruck, dass ich mir nicht ganz sicher bin, ob das eine Metapher ist. Die Schule als Hindernis erzeugt aber eine Spannung, weil Schule eigentlich das Gegenteil sein sollte"
	diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch					
	ohne Schule und gegen die Schule bricht.					
						
	Wenn man	x	vollgepropft würden	Dass Kinder mit gewissen Anschauungen	A	Bruch. Sprachlihc irregulär, pointiert. Aber nicht unersetzlich: es gibt auch viele ähnliche Ausdrücke, die denselben Bruch erzeugen wie etwas „vollstopfen“ oder „einimpfen“
	etwa befürchtet, daß dann in den Schulen schon die Kinder mit gewissen					
	den Regierenden genehmen Anschauungen vollgepfropft würden, so ist zu					
	sagen, daß Mißbrauch mit jeder noch so vernünftigen Maßregel getrieben					
	werden kann.					
						
	Was wir meinen, ist nur	x	sich organisch einfügen	in das ganze soziale Getriebe	B	Bruch.sprachlich irregulär, pointiert
	dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch					
	einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben					
	kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem					
	Teile — zur Förderung der Zwecke des Staates empfänglich und ge-					
	eignet sind.					
						
	Er muß damit rechnen, daß die einzelnen Volksgenossen bereits	nein				Tote Metapher, eher Redewendung
	mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach					
	ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht					
	im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne					
	als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren ge-					
	nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges					
	Hindernis entgegenstellen.					
						
	Stehen wir durch die Vererbung körperlich in	x	leben und weben wir	in ihrer geistigen Hinterlassenschaft	B	"""leben und weben"" erzeugt eine Erwartung auf einen physischen Ort, die ""geistige Hinterlassenschaft"" ist weder physisch, noch überhaupt so wirklich  ein Ort"
	einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden					
	vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassen-					
	schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren					
	können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als					
	einem unverrückbaren Medium.					
						
	Das intelligenteste	x	saugen	Wissen	A	Bruch, sprachlich irregulär, pointiert
	Europäerkind wird unter einem Stamm von Wilden nie auch nur entfernt					
	das Wissen und die Erfahrung eines gebildeten Europäers erreichen, weil					
	ihm das Medium fehlt, aus dem es dieses Wissen und diese Erfahrung					
	saugen könnte.					
						
	Keine von ihnen ist die Errungenschaft einer ein-	nein				etablierte Redewendungen
	zigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler					
	Generationen, von denen die eine immer auf den Schultern der früheren					
	steht und von denen jede ihr Scherflein zu dem heutigen Stande beigetragen					
	hat.					
						
	Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel	x	Dunkel	der entferntesten Zeiten	B	Bruch. Sprachlich irreguär, pointiert
	herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen					Kette (..) zurückreichen habe ich nicht als Metapher gesehen. „Kette“ erscheint mir nur als Synonym von „Reihe“ und als solches erzeugt es mit kein Bruch
	bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen,					
	die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten					
	zurückreichen.					
						
	Dies ist jedoch ein Miß-	x	gefesselt	durch Schranken	B	Bruch. Sprachlich irregulär, pointiert, Ausdruck nicht ersetzbar. Schranken schränken ein und begrenzen. Aber fesseln? Ich sehe das als Bruch
	verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin					
	durch die Schranken des Herkommens gefesselt ist.«					
						
	Aber die Gestalten und Bilder, welche	x	in sein Seele gefallen, ihre Herrschaft	Gestalten und Bider	B	Bruch, sprachlich irregulär, pointiert Ausdruck nicht ersetzbar
	einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten,					
	oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er					
	fröhlich ihrem leisen Zuge.					
						
	Die					
	Sollvorschrift bildet dann gewissermaßen die Hülle oder Schale, die sich un-	nein				Das „gewissermaßen“ zeigt einen direkten Vergleich an
	verändert erhält, während der Kern grundlegende Veränderungen erfahren					
	hat.					
						
	Überall machen sich starke Bestrebungen geltend, die überkommenen Sitten	x	nagende	Vernunft	B	Bruch. sprachlich irregulär, pointiert, semantische Erweiterung, Ausdruck nicht ersetzbar. „Die Vernunft nagt“ klingt sehr ungewöhnlich. Erinnert aber auch an den Ausdruck „nagende Zweifel“
	und Gebräuche gegenüber der nagenden Vernunft aufrecht zu erhalten.					
						
	Oft					
	genug ist derjenige, der sich in der Jugend einst knirschend gegen die Macht	x	Durch Schatten der Vergangenheit	Vergewaltigung	B	Starker Bruch, sprachlihc irregulär, pointiert, nicht ersetzbar, semantische Erweiterung
	des Hergebrachten aufbäumte, gar nicht genug über diese Vergewaltigung	x	seinem Ansturme Stand hielt	Wirklichkeit	B	sprachlich irregulär, pointiert, unersetzbar
	durch die Schatten der Vergangenheit klagen konnte, mit gereifterer Lebens-	x	ihre [der Wirklichkeit] Gleise	zwingen	B	sprachlich irregulär, pointiert, semantische Erweiterung. Kann ein Rahmenausdruck zugleich ein Fokus zu einem anderen Rahmenausdruck sein?
	anschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt					
	und ihn in ihre Geleise zwang.					
						
	Wie aber wäre dies möglich, da wir bis zur letzten Zelle	x	geistigen	Bau	A	Bin nicht sicher. sprachlich nicht so irregulär, eher floskelhaft, aber pointiert.
	unseres körperlich-geistigen Baues geschichtliche Wesen sind?					geistiger Bau klingt etwas ungewöhnlich, aber erzeugt er wirklich einen Bruch?
						
	Würde die Vergangenheit sich nicht wie ein Schwergewicht an uns hängen	nein				„wie ein Schwergewicht“ ist ein direkter Vergleich
	und als Ballast unserem sozialen Leben einen ruhigen Gang verleihen, so					„ein Spielball sein“ ist ein floskelhafter Ausdruck, der keinen richtigen Bruch erzeugt
	würde dieses von Extrem zu Extrem schwanken und jedes Staatswesen wäre					
	ein Spielball in der Hand waghalsiger Experimentatoren.					
						
	Die Vorschriften der Sitte (von denen die Vorschriften der Etiquette,	x	fortpflanzen	Vorschriften der Sitte	A	Sprachlich irregulär, pointiert. Ausdruck nicht ersetzbar ohne Bruch zu verlieren. Aber die Redeweise vom „fortpflanzen“ aller möglichen Dinge erscheint mir auch jargonhaft
	des gesellschaftlichen Anstandes als eine Unterabteilung aufzufassen und da-					
	durch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise,					
	die sich durch Beruf, Besitz, Stand oder Bildung verwandt fühlen, beschränkt					
	ist) unterliegen einer solchen durchgreifenden Revision durch die Vernunft					
	nicht, da sie sich lediglich durch mündliche Überlieferung fortpflanzen.					
						
	Wer plötz-					
	lich mit der Forderung aufträte, es dürfe kein Tropfen eines geistigen Ge-	nein				geistiges Getränk ist ein etablierter (wenn auch heute seltener) Ausdruck für Alkohol
	tränks mehr getrunken werden, weil der Alkoholgenuß schädlich sei, und die					
	augenblickliche Durchführung dieser Forderung erstrebte, wäre ein kompleter					
	Narr.					
						
	»Wir können den Lauf der Zeit nicht da-	x	fußen, wurzeln	Zukunftsgesetz	B	Bruch, sprachlich irregulär,  pointiert, semantische Erweiterung, 
	durch beschleunigen, daß wir unsere Uhren vorstellen: ein Zukunftsgesetz,					
	und wenn es die genialste Lösung der sozialen Fragen enthielte, es fände					
	kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln					
	könnte«, sagt Endemann1).					
						
	Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem	x	Geburtshelfer, mit neuen sozialen Erscheinungen schwanger geht	Gesellschaftsleben	B	Bruch, srachlich irregulär, pointiert, nicht ersetzbar ohne den Bruch zu verlieren
	Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit					
	neuen sozialen Erscheinungen schwanger geht.					
						
	Die Vernunft einzelner Menschen kann vorher	x	Triebwerk	des sozialen Lebens	B	Bruch, sprachlich irregulär, pointiert,
	nicht genau ermessen, wie jene Änderung, die in das Triebwerk des sozialen					
	Lebens eingreift und bis in die entferntesten Erscheinungen desselben ihren					
	Einfluß geltend macht, wirken wird.					
						
	Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins	x	Sprung ins dunkle	ein neues Gesetz	B	Bruch, sprachlich irregulär, pointiert,
	dunkle.					
						
	Der beste Gesetzgeber ist deshalb derjenige, der sein Ziel stufen-	x	tote	Buchstaben	A	Bruch, sprachlich irregulär, pointiert, aber auch floskelhaft
	mäßig durch möglichst geringe Abänderungen der jeweilig geltenden recht-					
	lichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor					
	gefährlichen Experimenten bewahrt, immer in der Lage ist, den theoretisch					
	beabsichtigten Erfolg eines Gesetzes in der Praxis nachzuprüfen und anderer-					
	seits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein					
	des Volkes Anknüpfungspunkte finden und nicht tote Buchstaben bleiben.					
						
	Denn das Leben, sagt Endemann3), muß erst »die Rechtsgedanken verar-	x	lebendig werden	die Gesetzesbuchstaben	A	Bruch, sprachlich irregulär, pointiert, aber auch floskelhaft. Eine Variation der „tote Buchstaben2-Metapher
	beiten, die als Keime in die Paragraphen eingeschlossen sind, damit die		als Keim eingeschlossen	in die Paragraphen	B	Bruch, sprachlich irregulär, pointiert, semantische Erweiterung
						
	Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie	x	unbewaffnete	Augen	B	sprachlich irregulär, pointiert, nicht ersetzbar ohne Bruch zu verlieren
	das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe					
	einer Dampfmaschine die Leistungen von Riesen übertreffen.					
						
S. 120-149						
	Wenn also einzelne Soziologen	x	Pforte	daß die enorme Kindersterblichkeit der großen Städte (..) sei	C	Bruch, sprachlich irregulär, pointiert
	in der hohen Kindersterblichkeit in Deutschland befriedigt das Walten der					
	natürlichen Auslese erblicken, wenn ein Autor (Otto Zacharias) in deut-					
	lichem Anklange an die 1. Auflage von Robert Malthus’ Hauptwerk den					
	Satz aufstellt, »daß die enorme Kindersterblichkeit der großen Städte die					
	Pforte sei, durch welche alle diejenigen jungen Leben, für welche kein Ge-					
	deck an dem großen Gastmahl der Natur aufgelegt ist, sich wieder entfernen	x	der Natur	Gastmahl	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	müssen«, so ist das eine völlige Verkennung der Tatsachen.					
						
	Unerkannt sitzt die geschlechtliche Zuchtwahl aber auch am Webstuhl	x	der Geschichte	Webstuhl	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	der Geschichte.					
						
	Ob nicht auch hier die individuelle Geschlechtsliebe	nein				Kompass sein erscheint mir als tote Metapher bzw. Regewendung und erzeugt keinen Bruch
	der Kompaß ist, welcher die zu einander, d. h. zur Erzeugung normal					
	gebildeter Kinder passenden Personen zusammenführt und die nicht zusammen-					
	passenden von einander fernhält?					
						
	Freilich scheint uns auch hier wie zur Erreichung so vieler anderer	x	eingegrabenes Staatsideal	Herz	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	wünschenswerter Ziele ein hohes und tief ins Herz des Volkes einge-	x	Herz	des Volkes	A	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar, aber abgedroschen
	grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein-					Frage: Kann ein Ausdruck, der einem Fokus als Rahmen dient, selbst wiederum ein Fokus für einen anderen Rahmen sein? Hier das Wort Herz
	zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration					
	Beschränkungen auferlegt.					
						
	Nur	x	Motiv	ins Herz des Volkes wird (..) gepflanzt	A	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar, aber abgedroschen
	auf diese Weise wird ins Herz des Volkes selbst ein Motiv gepflanzt, das	x	Herz	des Volkes	A	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar, aber abgedroschen
	gewaltig wirkend den einzelnen im Banne hält und ihm die Entsagung					
	dort leicht macht, wo sie durch kleinliche Zwangsmaßregeln überhaupt nie					
	zu erreichen sein würde.					
						
	Die Zeitungen	x	durch das Vergrößerungsglas ihres Parteiinteresses 	Zeitungen sehen alle Dinge	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	sehen alle Dinge durch das Vergrößerungsglas ihres Parteiinteresses und	x	möglichst großes Interesse	dem Leser einflößen	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	des Bestrebens, dem Leser für ihre Mitteilungen ein möglichst großes					
	Interesse einzuflößen.					
						
	Die ohnehin schon sehr dürftige wirtschaftliche Existenz des Arbeiters	nein				an einem dünnen Faden hängen ist eine etablierte Redewendung
	hing also fortwährend an einem dünnen Faden, da außer jenen Krisen auch					
	noch die im Beginn der kapitalistischen Ära sehr häufige Erfindung und					
	und Einführung arbeitsparender Maschinen den Arbeiter ständig mit Ent-					
	lassung bedrohte.					
						
	Als Schüler der Hegelschen Philosophie hatten	x	durchtränkt	vom Rationalismus der Aufklärungsperiode	A	"Bruch, sprachlich irregulär, pointiert, nicht ersetzbar. ""Durch etwas durchtränkt sein"" ist aber eine üblichere Metapher und deshalb wenig auffällig"
	sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren					
	Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten					
	sozialistischen Vorgänger.					
						
	»Eine Gesellschaftsformation	x	Schoß	der alten Gesellschaft	A	"Bruch, sprachlich irregulär, pointiert. Aber ""Schoß der Gesellschaft"" erscheint mir eher Floskelhaft"". Nur schwache Metapher, grenzwertig"
	geht nie unter«, sagt Marx1), »bevor alle Produktivkräfte entwickelt sind,	x	ausgebrütet worden sind	Schoß der GEsellschaft	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar.
	für die sie weit genug ist, und neue höhere Produktionsverhältnisse treten					
	nie an die Stelle, bevor die materiellen Existenzbedingungen derselben im					
	Schoß der alten Gesellschaft selbst ausgebrütet worden sind.«					
						
	Und da diese sozialen	x	saugen	seine Erfahrungen	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem					
	es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle					
	Geistesleben von den Produktionsverhältnissen bestimmt.					
						
	Man kann mit dem Marx’schen Gedankengange eine ganze Strecke	nein				Bin mir nicht ganz sicher. Klingt ungewöhnlich. Andererseits sagt man nicht auch einem Gedankengang folgen? Das wäre im Prinzip dasselbe. Also eher Redewendung
	weit mitgehen.					Der Ausdruck erscheint mir deshalb eher als etwas anders formulierte Redewendung, erzeugt aber nicht wirklich einen Bruch
						
	Es ist richtig, daß die Wirtschaftsweise eines Volkes seinem	nein				"""Stempel aufdrücken"" ist eine normale Redewendung und erzeugt keinen Bruch"
	ganzen sozialen Leben ihren Stempel aufdrückt, aber einerseits ist diese Er-					
	kenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer					
	Faktoren, die im gesellschaftlichen Leben mitwirken, überspannt, zum anderen					
	gibt die methodische Durchführung jener Erkenntnis zu Bedenken Anlaß.					
						
S. 150-175						
	Zwar besteht	nein				"Bin nicht ganz sicher, aber ""gesellschaftliche Schranken"" scheint mir ein üblicher Ausdruck zu sein."
	heut innerhalb jeder Schicht ein hoher Grad von Beweglichkeit, und viel					"""Bewegilchkeit zwischen den Schichten"" ebenso"
	Beweglichkeit auch zwischen den Schichten, aber die gesellschaftlichen Schranken					
	werden noch aufrecht erhalten.					
						
	Die Menschheit macht mit der Realisierung der sozialistischen Forderung	x	aus dem Reiche der Notwendigkeit, in das Reich der Freiheit	macht den Sprung	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das					
	Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon					
	selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.					
						
	Sobald aber die Forderung	x	ihres mythischen Schimmers entkleiden	Forderung	B	Bruch, sprachlich irregulär, pointiert, semantische Erweiterung. nicht ersetzbar
	der Vergesellschaftung der Produktionsmittel ihres mystischen Schimmers					
	entkleidet und als ein rechtlicher Reformvorschlag wie andere Reformvorschläge					
	angesehen werden wird, wird sie von sozialdemokratischer Seite selbst auch					
	unbefangener und nüchterner betrachtet werden.					
