Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
	Prinzipats, so auch der restaurierte Diocletians . . . nicht durch die Barbaren, sondern an									
	innerer Fäulnis.«									
										
	Die Folge davon war schließlich eine vollständige Aushöhlung der	x	 vollständige Aushöhlung	weltlichen Gemeinwesen	x	x	x	x	A	
	weltlichen Gemeinwesen durch das geistliche, eine vollständige Vernichtung									
	alles weltlichen Rechtes durch das kirchliche Recht.									
										
S. 281-317										
	Und noch waren nicht hundert	x	sterbenden Löwen	Hauptstadt	x	x	x	x	B	in diesem Satz kein Rahmen, aber es ist eine Metapher
	Jahre vergangen, da war der Segenswunsch des sterbenden Löwen erfüllt:									
	da war Berlin die Hauptstadt des neuen deutschen Reiches.									
										
	Ob es Frank-	x	Fesseln	der römischen Kirche 	x	x	x	x	A	grenzt an Floskel
	reich und Italien gelingen wird die Fesseln der römischen Kirche zu sprengen			zu sprengen						
	und alsdann den Vorsprung, den die protestantischen Staaten auch vor									
	ihnen bereits gewonnen haben, noch einzuholen, muß die Zukunft lehren.									
										
	Die Kirche muß, je vollständiger sie sich als solche vollendet, desto mehr eine Fessel	x	Fessel	christlichen Lebens	x	x	x	x	A	grenzt auch an Floskel
	des von ihr selbst groß gezogenen christlichen Lebens werden, und indem sie demzufolge sich									
	mit diesem je länger desto ernstlicher überwirft, muß sie nach und nach wieder in sich selbst									
	zerfallen.									
										
	Jeden Morgen drängen sich uns neue Beweise dafür auf, wie durch den ganzen	nein								
	Staatskörper hindurch immer weitere Kreise ziehende Wellenbewegungen von Ursachen und									wie Vergleich
	Wirkungen sich ausbreiten, die so verwickelter Natur sind, daß selbst der schärfte Verstand									
	ihre gesammten Folgen nimmermehr zu überschauen vermöchte. 									
										
										
	Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder	nein								
	ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung,									
	ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der									
	Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen									
	Freiheit aufzuräumen. 									
										
	Wie stark waren doch die alten Landrechte des späteren Mittelalters, meist nur Kodifikationen	x	Flut	landesherrlicher Verordnungen	x	x	x	x	B	
	bestehenden Rechtes, durch eine Flut landesherrlicher Verordnungen überholt worden, die									
	mit und ohne Bitten oder Rat der Landstände neues Recht schufen! 									
										
	Den Frieden aber hat der Staat geschaffen; und darum ist der	x	Wiege	der Freiheit	x	x	x	x	B	
	Staat, das letzte und bisher höchste Naturprodukt, welches wir kennen,									
	nicht, wie blöder Unverstand glaubt, das Grab, sondern die Wiege der									
	Freiheit.									
										
	Staaten hat es keineswegs, wie Viele behaupten, seit undenklichen	x	sehr junges Gebilde.	Staat	x	x	x	x	B	
	Zeiten gegeben; der Staat ist vielmehr ein sehr junges Gebilde.									
										
	Ein anderer	x	Fleisch	 der Modernität	x	x	x	x	B	
	christlicher, nicht weniger verrückter Begriff hat sich noch weit tiefer ins Fleisch der Modernität									
	vererbt: der Begriff von der »Gleichheit der Seelen vor Gott.«									
										
	Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe	x	irdischen Zettel	das Gute und Heilige	x	x	x	x	B	
	gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.									
										
	Sie hatten aus der Religion ein irdisches Gewerbe gemacht — es gab nichts Ab-	x	irdisches Gewerbe	Religion	x	x	x	x	B	
	scheulicheres.«									
										
	Das verträgt sich	x	überwuchert	Demut	x	x	x	x	B	
	eben nicht zusammen: sie haben leider noch sehr viel anderes daneben, was									
	die Demut nur allzuleicht und allzusehr überwuchert.									
										
	Der Wert unserer modernen Umwälzungen wäre in der Tat	nein								
	ein sehr problematischer, wenn sie allein jene Kraft beeinflußte, welche positiv schöpferisch									
	nur zu Gunsten einer unbedingten Staatseinheit, bezüglich aller anderen Organismen aber									
	lediglich auflösend und negierend wirkt, aus deren einseitiger Vollendung daher die Zentrali-									
	sation und Mechanisierung des Staates und die Atomisierung des Volkes unausbleiblich									
	hervorgehen müßte.									
										
	Daß dem nicht so ist, verdanken wir dem neu erwachten Assoziations-	nein								
	geist. Er, indem er von unten auf alle öffentlichen Verbände mit einem selbständigen									
	Gemeinleben zu erfüllen strebt, indem er aber gleichzeitig die Atome, in welche das Volk									
	sich zu lösen droht, in zahllose Neuverbindungen von organischer Struktur und eigener									
	Lebenskraft zusammenschließt, ist daher das eigentlich positive, gestaltgebende Prinzip der									
	neuen Epoche, welche für die deutsche Rechts- und Verfassungsentwickelung in unserem									
	Jahrhundert angebrochen ist.									
										
	Unter der vertrocknenden Wirkung des Zweifels, und ohne daß vielleicht das Ver-	x	vertrocknenden Wirkung	des Zweifels	x	x	x	x	B	
	brechen häufiger und die Tugend seltener geworden wäre, ist die französische Moralität in									
	ihrem Innersten zerstört. Nichts hält mehr Stich, das Ausreißen ist vollständig.									
