Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (A, B, C)	Begründung/Kommentar
	lagen, zu eigenen Landeskirchen umzuformen.									
										
	So ist denn die innere politische Geschichte des römischen Kaiserreichs	nein								bildlicher Ausdruck ohne Spannung
	der ersten christlichen Jahrhunderte die Geschichte eines langsamen inneren									
	Verfaulens, bis es in der ungeheuren Krisis von 235—285 völlig zu-									
	sammenbricht.									
										
	»Zu Grunde gegangen ist«, so urteilt Mommsen2), »wie der Römerstaat des	nein								bildlicher Ausdruck ohne Spannung
	Prinzipats, so auch der restaurierte Diocletians . . . nicht durch die Barbaren, sondern an									
	innerer Fäulnis.«									
										
	Die Folge davon war schließlich eine vollständige Aushöhlung der	nein								bildlicher Ausdruck ohne Spannung
	weltlichen Gemeinwesen durch das geistliche, eine vollständige Vernichtung									
	alles weltlichen Rechtes durch das kirchliche Recht.									
										
S. 281-317										
	Und noch waren nicht hundert	nein								Lessing wird als Löwe charakterisiert, symbolisch, nicht metaphorisch
	Jahre vergangen, da war der Segenswunsch des sterbenden Löwen erfüllt:									
	da war Berlin die Hauptstadt des neuen deutschen Reiches.									
										
	Ob es Frank-	nein								Floskel
	reich und Italien gelingen wird die Fesseln der römischen Kirche zu sprengen									
	und alsdann den Vorsprung, den die protestantischen Staaten auch vor									
	ihnen bereits gewonnen haben, noch einzuholen, muß die Zukunft lehren.									
										
	Die Kirche muß, je vollständiger sie sich als solche vollendet, desto mehr eine Fessel	x	eine Fessel werden	die Kirche	x	x	x		A	selbst zur Fessel zu werden erzeugt einen leichten Bruch, zumal es um eine abstrakte Körperschaft wie die Kirche geht
	des von ihr selbst groß gezogenen christlichen Lebens werden, und indem sie demzufolge sich									
	mit diesem je länger desto ernstlicher überwirft, muß sie nach und nach wieder in sich selbst									
	zerfallen.									
										
	Jeden Morgen drängen sich uns neue Beweise dafür auf, wie durch den ganzen	x	Wellenbewegungen	von Ursachen und Wirkungen	x	x	x		B	die unübersichtliche Kausalität wird durch die Wellenkreise des Wassers veranschaulicht
	Staatskörper hindurch immer weitere Kreise ziehende Wellenbewegungen von Ursachen und									
	Wirkungen sich ausbreiten, die so verwickelter Natur sind, daß selbst der schärfte Verstand									
	ihre gesammten Folgen nimmermehr zu überschauen vermöchte. 									
										
										
	Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder	nein								übliche Redewendungen
	ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung,									
	ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der									
	Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen									
	Freiheit aufzuräumen. 									
										
	Wie stark waren doch die alten Landrechte des späteren Mittelalters, meist nur Kodifikationen	nein								Floskel
	bestehenden Rechtes, durch eine Flut landesherrlicher Verordnungen überholt worden, die									
	mit und ohne Bitten oder Rat der Landstände neues Recht schufen! 									
										
	Den Frieden aber hat der Staat geschaffen; und darum ist der	x	das Grab/ die Wiege	der Freiheit	x	x	x	x	B	durch den Kontrast werden die einzelnen Bedeutungen hervorgehoben und insgesamt metaphorisch
	Staat, das letzte und bisher höchste Naturprodukt, welches wir kennen,									
	nicht, wie blöder Unverstand glaubt, das Grab, sondern die Wiege der									
	Freiheit.									
										
	Staaten hat es keineswegs, wie Viele behaupten, seit undenklichen	nein								übliche Redewendung
	Zeiten gegeben; der Staat ist vielmehr ein sehr junges Gebilde.									
										
	Ein anderer	x	weit tiefer ins Fleisch vererbt	der Modernität	x	x	x	x	B	die Moderne hat kein Fleisch und in dieses lässt sich also eigentlich auch nichts vererben
	christlicher, nicht weniger verrückter Begriff hat sich noch weit tiefer ins Fleisch der Modernität									
	vererbt: der Begriff von der »Gleichheit der Seelen vor Gott.«									
										
	Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe	x	in ein Gewebe verwoben	alles	x	x	x		A	miteinander verwoben zu sein, wäre floskelhaft, aber durch die Steigerung, zu einem Gewebe verwoben, kommt es zu einem kleinen Bruch
	gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.									
										
	Sie hatten aus der Religion ein irdisches Gewerbe gemacht — es gab nichts Ab-	nein								metaphorisch gedeutet würde die kritik verloren gehen
	scheulicheres.«									
										
	Das verträgt sich	nein								ersetzbares Bild
	eben nicht zusammen: sie haben leider noch sehr viel anderes daneben, was									
	die Demut nur allzuleicht und allzusehr überwuchert.									
										
	Der Wert unserer modernen Umwälzungen wäre in der Tat	nein								ersetzbares Bild
	ein sehr problematischer, wenn sie allein jene Kraft beeinflußte, welche positiv schöpferisch									
	nur zu Gunsten einer unbedingten Staatseinheit, bezüglich aller anderen Organismen aber									
	lediglich auflösend und negierend wirkt, aus deren einseitiger Vollendung daher die Zentrali-									
	sation und Mechanisierung des Staates und die Atomisierung des Volkes unausbleiblich									
	hervorgehen müßte.									
										
	Daß dem nicht so ist, verdanken wir dem neu erwachten Assoziations-	nein								sprachlich nichts auffälliges
	geist. Er, indem er von unten auf alle öffentlichen Verbände mit einem selbständigen									
	Gemeinleben zu erfüllen strebt, indem er aber gleichzeitig die Atome, in welche das Volk									
	sich zu lösen droht, in zahllose Neuverbindungen von organischer Struktur und eigener									
	Lebenskraft zusammenschließt, ist daher das eigentlich positive, gestaltgebende Prinzip der									
	neuen Epoche, welche für die deutsche Rechts- und Verfassungsentwickelung in unserem									
	Jahrhundert angebrochen ist.									
										
	Unter der vertrocknenden Wirkung des Zweifels, und ohne daß vielleicht das Ver-	x	vertrocknende Wirkung	des Zweifels	x	x	x	x	B	der Zweifel lässt vertrocknen
	brechen häufiger und die Tugend seltener geworden wäre, ist die französische Moralität in									
	ihrem Innersten zerstört. Nichts hält mehr Stich, das Ausreißen ist vollständig.									Bild ohne Spannungsrahmen
